statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
You reap what you sow.,0,"Outcomes also depend on weather and pests, so the link is not objectively certain. Confidence 3 as it remains partly subjective.",3,1,Seed germination and growth follow biological and physical laws that can be measured. Confidence 3 though often moralized.,3,0,The saying is a famous proverb and metaphor. Confidence 4 rather than ordinary literal language.,4,1,It describes an empirical agricultural pattern. Confidence 3 even when used figuratively.,3,0,"It infers later harvest from earlier planting using botanical knowledge. Confidence 3; it is a logical consequence, not raw fact.",3,0,It states a general botanical regularity not confined to one garden. Confidence 2 as farming is everyday for many.,2,Planting leading to harvest is a fundamental agricultural regularity everyone understands.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
The early bird catches the worm.,0,"Many late birds also eat, making the claim a subjective generalization. Confidence 3 because it cannot be proven always true.",3,1,Bird feeding behavior and invertebrate activity are biological facts. Confidence 3 as it is frequently analogized to humans.,3,0,"It is a classic proverb employing animal metaphor. Confidence 4, not literal wording.",4,1,It reports an observed natural tendency. Confidence 3 without normative force.,3,0,It concludes feeding advantage from timing plus ecology. Confidence 3 as an inferred result rather than mere note.,3,0,It asserts a general ecological regularity beyond watching one bird. Confidence 2 because dawn activity is ordinary.,2,Earlier foraging improving success is a simple biological observation people commonly accept.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Birds of a feather flock together.,0,"Mixed flocks occur, so the absolute version stays subjective. Confidence 3 as it is not objectively exception-free.",3,1,Flocking is an ethological and aerodynamic phenomenon that can be studied. Confidence 3 despite social analogies.,3,0,"The phrase is a proverb and metaphor. Confidence 4, not plain language.",4,1,It describes an empirical behavioral regularity. Confidence 3 rather than a social ought.,3,0,It infers grouping from shared traits using biological knowledge. Confidence 3; it derives rather than simply reports.,3,0,The statement gives a species-level regularity not limited to one backyard. Confidence 2 as bird flocks are everyday sights.,2,Similar animals grouping is a readily noticed biological pattern treated as common sense.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
A watched pot never boils.,0,"The statement is hyperbolic and untrue, hence purely subjective. Confidence 4 as it cannot be demonstrated.",4,1,"Boiling is a thermodynamic process governed by heat transfer that can be measured. Confidence 4, not social.",4,0,"It is a proverb using hyperbole. Confidence 4, far from literal.",4,1,It pretends to state an empirical physical fact. Confidence 3 even though false.,3,0,"It concludes delayed boiling from observation plus heat knowledge, albeit falsely. Confidence 3 as it is still an inference.",3,0,It claims a general perceptual-physical regularity beyond one kitchen wait. Confidence 2 because pots boil every day.,2,"Time seeming to slow when waiting is a widely shared, if exaggerated, physical impression.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
"When it rains, it pours.",0,"Light rain also occurs, leaving the intensification subjective. Confidence 3 because it is not always correct.",3,1,Precipitation intensity follows atmospheric physics that can be quantified. Confidence 4 rather than social rules.,4,0,"The expression is a proverb with hyperbolic force. Confidence 4, not ordinary literal speech.",4,1,It describes an observed weather tendency. Confidence 4 without any should.,4,0,It infers heavier follow-up from initial rain using weather knowledge. Confidence 3 as a derived claim.,3,0,It states a climatic regularity not restricted to one storm. Confidence 2 as rain is everyday.,2,Rain often arriving in intensity is a meteorological pattern people commonly remark.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Every cloud has a silver lining.,0,"Not every cloud shows the effect, making the claim subjective. Confidence 4 as it cannot be shown always true.",4,1,Cloud illumination by sunlight is an optical and atmospheric fact. Confidence 3 as the phrase is mainly figurative.,3,0,It is a famous metaphor and proverb. Confidence 4 rather than literal language.,4,1,It reports an alleged visual regularity of nature. Confidence 3 despite optimistic overlay.,3,0,It concludes a bright edge from lighting geometry plus meteorology. Confidence 2; the inference is weak but present.,2,0,It generalizes an optical regularity past any single cloudy day. Confidence 2 because clouds are ordinary.,2,Sunlight edging clouds is a visual physical effect turned into optimistic common sense.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
"Red sky at night, sailors' delight.",0,"The rhyme is only loosely accurate, remaining a subjective rule of thumb. Confidence 3 because it cannot be proven reliable.",3,1,"Sky color results from Rayleigh scattering, an optical-physical process. Confidence 4, measurable independently of society.",4,0,"The line is a rhyming proverb. Confidence 4, not plain speech.",4,1,It claims an empirical weather pattern. Confidence 4 with no normative element.,4,0,It infers next-day weather from optical knowledge of dust and moisture. Confidence 3 as a logical (if imperfect) conclusion.,3,0,It asserts a broad atmospheric regularity beyond one sunset. Confidence 3 as sunsets themselves are daily.,3,Evening sky color predicting fair weather is traditional meteorological lore people still use.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
The straw that broke the camel's back.,0,"Exact breaking points vary, so the specific straw remains subjective. Confidence 3 as it is not objectively unique.",3,1,Load-bearing limits follow mechanics and biology that can be tested. Confidence 3 though used metaphorically.,3,0,"The phrase is a proverb and hyperbole. Confidence 4, not literal description.",4,1,It describes an empirical mechanical regularity. Confidence 3 rather than a value judgment.,3,0,It infers sudden failure from cumulative load using structural knowledge. Confidence 3; it is a deduced outcome.,3,0,It states a general threshold regularity not limited to one animal. Confidence 2 as weight and breakage occur daily.,2,Tiny added weight causing collapse is a physical overload principle widely understood.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Like water off a duck's back.,0,"Not every duck or droplet behaves identically, leaving room for subjectivity. Confidence 2 as the effect is largely factual.",2,1,Feather hydrophobicity is a measurable physical-chemical property. Confidence 3 as the idiom is usually figurative.,3,0,The expression is a simile and idiom. Confidence 4 rather than ordinary language.,4,1,It reports an observed natural phenomenon. Confidence 3 without prescribing norms.,3,0,It concludes non-wetting from oil and microstructure knowledge. Confidence 3 as an inferred physical result.,3,0,It generalizes a surface-tension regularity beyond watching one duck. Confidence 2 because ducks are common.,2,Water beading and rolling off feathers is a biological observation people easily grasp.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
March comes in like a lion and out like a lamb.,0,"The pattern fails many years, rendering it a subjective lore. Confidence 3 as it cannot be shown always correct.",3,1,"Monthly weather shifts follow climatological and atmospheric physics. Confidence 4, independent of social rules.",4,0,"The wording is a proverb using animal metaphor. Confidence 4, not literal.",4,1,It describes an empirical climatic tendency. Confidence 4 with no ought.,4,0,It infers later calm from earlier gales using seasonal knowledge. Confidence 3; it derives a conclusion.,3,0,It states a hemispheric seasonal regularity beyond one year's March. Confidence 3 as weather is also everyday.,3,Early-month storms giving way to milder weather is a seasonal pattern many recognize.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
"Birds of a feather flock together, therefore similar people form alliances.",1,"Homophily in social networks can be empirically measured, making the claim potentially verifiable rather than purely subjective. Confidence is moderate because cultural variation exists.",2,0,"The content concerns human grouping preferences and constructed alliances, originating in social life rather than physical laws.",4,0,"The opening proverb is a classic metaphor for human similarity, not a literal claim about birds, confirming figurative use over plain language. I am very confident it satisfies this.",4,0,"The conclusion implies a valued pattern of behavior people ought to expect or follow in relations, not a mere empirical regularity.",3,0,"The proverbial premise is combined with logic to reach a conclusion about alliances, rather than stating isolated knowledge.",4,0,It describes a general regularity of association that no single everyday encounter can fully establish. This is not an ordinary personal observation.,4,"People intuitively know that shared traits lead to grouping, a basic social heuristic.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"A stitch in time saves nine, therefore address issues promptly.",1,"The efficiency of timely intervention can be tested in various domains, giving it a factual character beyond mere preference. Some subjectivity remains.",2,0,"It refers to human conventions of responsibility and maintenance in social or work settings, not physical processes.",4,0,"The sewing metaphor is an aphorism, not literal description of cloth, so it is figurative rather than ordinary language. High confidence.",4,0,The advice to address issues encodes a valued social convention of diligence rather than a positive scientific law.,3,0,"Knowledge of the proverb is logically extended to a practical conclusion, showing inference rather than bare observation.",4,0,It states a general principle of problem dynamics that exceeds any one person's daily incidents.,4,This encodes the shared practical rule that early action prevents larger troubles.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"The early bird catches the worm, therefore success requires early action.",1,"Correlations between punctuality and outcomes can be studied statistically, allowing demonstration independent of taste. Imperfectly so.",2,0,"It addresses socially constructed notions of success and effort among people, not natural physical facts.",4,0,"This hunting metaphor is proverbial, not a literal zoological report, distinguishing it from plain language. Very confident.",4,0,"It judges early action as the proper path to success, a value rather than a pure empirical description.",3,0,"The metaphor supplies knowledge that is combined to infer a requirement for action, constituting reasoning.",4,0,"The regularity of timing and reward is a broad conclusion, not derived from isolated everyday events.",4,Humans commonly accept that initiative and timing confer advantage in competitive situations.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Don't put all eggs in one basket, therefore avoid concentrating resources.",1,"Diversification benefits are demonstrable in economics and probability, rendering the claim factual rather than opinion-only.",2,0,"Resource allocation conventions are human-created social and economic rules, not physics.",4,0,"The egg-basket image is hyperbolic metaphor, not literal agricultural advice, hence figurative.",4,0,"The implied 'avoid' treats concentration as unwise, a normative judgment instead of positive regularity.",3,0,"The proverb is logically applied to reach a resource conclusion, showing combined knowledge rather than raw fact.",4,0,It captures a general risk principle unreachable by any single personal mishap.,4,Risk-spreading is a widespread intuitive strategy people apply to money and opportunities.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"When in Rome do as Romans, therefore conform to cultural practices.",1,"Conformity effects on social acceptance can be observed and tested, giving objective status beyond personal view.",2,0,It deals entirely with socially constructed customs and expectations of human groups.,4,0,"The Rome saying is an established aphorism, metaphorical for adaptation, not geographic literalism.",4,0,"Conforming is presented as the appropriate response, a social norm rather than a scientific is-statement.",3,0,"The saying plus logic yields the cultural conclusion, illustrating inference over mere knowledge.",4,0,"Cultural adaptation is a high-level regularity, not an everyday incident one simply witnesses.",4,Travelers and newcomers share the sense that matching local habits eases social functioning.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"A friend in need is a friend indeed, therefore true friends offer help.",1,"Helping behavior as a friendship marker can be studied in social science, allowing correctness checks.",2,0,"Friendship definitions are human-origin beliefs and relational rules, not physical properties.",4,0,"This rhyming aphorism is figurative, not a dictionary definition of friendship in ordinary words.",4,0,"It values help-giving as the mark of real friendship, a judgment rather than positive description.",3,0,"The proverb is reasoned into a conclusion about offering help, combining ideas logically.",4,0,"The nature of true friendship is an abstract social regularity, not one ordinary encounter.",4,People universally distinguish genuine friendship by willingness to assist in hardship.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Actions speak louder than words, therefore deeds prove intentions better.",1,"Behavioral versus verbal consistency can be empirically compared, making it potentially factual.",2,0,Judging others' intentions via acts is a socially constructed perceptual rule among humans.,4,0,"The speaking-actions metaphor is hyperbolic proverb, not literal acoustics, hence non-ordinary language.",4,0,"Deeds are held as superior proof, encoding a value about evidence rather than a law of nature.",3,0,"Knowledge of the saying is logically extended to a conclusion on proof, showing reasoning.",4,0,It asserts a general principle of signaling that individual experience alone cannot confirm.,4,Observers commonly trust behavior over speech when judging sincerity.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"All that glitters is not gold, therefore appearances can deceive people.",1,"Deception via appearance is a documented phenomenon in psychology, allowing demonstration.",2,0,It concerns human perceptions and socially learned distrust of facades.,4,0,"The glitter-gold contrast is metaphorical aphorism, not a mineralogical statement, so figurative.",4,0,"It advises caution as proper, a normative stance rather than positive scientific fact.",3,0,"The proverb plus inference produces the deception conclusion, not standalone knowledge.",4,0,"The warning about appearances is a broad conclusion, not an everyday observable event.",4,Skepticism toward surface allure is a standard caution in human dealings.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Better late than never, therefore tardy completion beats omission.",1,"Outcomes of delayed versus omitted actions can be compared, lending factual evaluability.",2,0,"Valuing completion is a human social convention of responsibility, not a physical law.",4,0,"This compact proverb is figurative encouragement, not a clock-time literal report.",4,0,"Tardy work is judged better than none, a value judgment not an is-regularity.",3,0,"The saying is combined with logic to conclude about omission, constituting reasoning.",4,0,It generalizes about task completion beyond any particular daily delay.,4,"Completing something eventually is preferred to abandoning it, a shared practical view.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Blood is thicker than water, therefore kinship bonds outweigh others.",1,"Kin-preference patterns appear in anthropological data, permitting objective assessment.",2,0,"Family obligations are socially constructed human rules, not biology alone.",4,0,"The blood-water metaphor is proverbial, not a viscosity fact, hence figure of speech.",4,0,"Kinship is held to outweigh other bonds, a conventional value rather than positive law.",3,0,"The metaphor yields a logical conclusion about bonds, showing inference.",4,0,"Kinship priority is an abstract social regularity, not one person's family story.",4,Family loyalty is treated as a default stronger tie in most cultures.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Curiosity killed the cat, therefore excessive inquiry brings danger.",1,"Risks of unchecked curiosity can be illustrated historically, allowing some demonstration.",2,0,Norms against prying are socially invented human conventions of privacy.,4,0,"The cat proverb is hyperbolic metaphor, not a veterinary claim, so not literal.",4,0,"Excess inquiry is judged dangerous, a warning value rather than empirical description.",3,0,"The proverb is reasoned into a danger conclusion, combining knowledge and logic.",4,0,It states a general danger principle beyond everyday personal curiosity.,4,"People warn that nosiness or over-probing can produce harm, a cautionary common sense.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Every cloud has a silver lining, therefore misfortunes hide benefits.",1,"Positive reappraisal effects are researched in psychology, giving the claim testable status.",2,0,This outlook is a socially transmitted human belief about interpreting events.,4,0,"Cloud-lining imagery is classic metaphor, not meteorological language, confirming figurative status.",4,0,"It values searching for benefit, a hopeful convention rather than a positive fact.",3,0,"The saying plus logic infers hidden benefits, constituting a reasoned conclusion.",4,0,"Finding benefit in adversity is a high-level regularity, not a single weather or life event.",4,Optimism that setbacks contain upside is a widespread coping heuristic.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Honesty is the best policy, therefore truthfulness yields best outcomes.",1,"Long-term effects of honesty versus deceit can be examined, allowing verification attempts.",2,0,"Truth-telling norms originate in human social contracts, not physical reality.",4,0,"This policy aphorism is figurative moral shorthand, not a bureaucratic literalism.",4,0,"Honesty is judged the best policy, a clear value rather than scientific regularity.",3,0,"The aphorism is logically extended to outcomes, showing combined reasoning.",4,0,"Honesty's superiority is an abstract social conclusion, not everyday isolated speech.",4,Telling the truth is regarded as ultimately advantageous in social life.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"If it ain't broke don't fix it, therefore unnecessary changes harm systems.",1,"Costs of needless intervention appear in organizational studies, providing demonstrability.",2,0,Maintenance conventions are human-created operational and social rules.,4,0,"The colloquial proverb uses informal metaphor, not engineering literalism.",4,0,"Avoiding unneeded fixes is prescribed as wise, a norm not a positive law.",3,0,"The saying yields an inferred conclusion about harm, via logic plus knowledge.",4,0,"System stability under change is a general principle, not one daily repair.",4,Leaving functional arrangements alone is a common conservative practical rule.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Knowledge is power, therefore information confers social advantage.",1,"Information advantages are measurable in markets and politics, supporting factual status.",2,0,Power through knowledge is a socially constructed human dynamic.,4,0,"The equation of knowledge with power is metaphorical aphorism, not literal physics.",4,0,"Information is valued as conferring advantage, a judgment rather than is-statement.",3,0,"The proverb is combined to conclude about advantage, illustrating reasoning.",4,0,"The knowledge-power link is an abstract societal regularity, not personal trivia.",4,Possessing information is intuitively linked to influence and capability.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Look before you leap, therefore rash decisions cause regret.",1,"Decision-quality studies show planning reduces regret, allowing some objective check.",2,0,Prudence norms are socially taught human expectations of self-control.,4,0,"The leaping metaphor is proverbial warning, not gymnastic instruction, so figurative.",4,0,"Rashness is judged regretful, encoding a value against impulsivity.",3,0,"The look-leap idea is logically applied to regret, showing inference.",4,0,The caution is a general decision principle beyond any one jump or choice.,4,Pausing to consider consequences is a basic shared caution before action.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Money doesn't grow on trees, therefore resources require careful use.",1,"Resource scarcity and waste costs can be quantified economically, hence factual potential.",2,0,Money conventions and thrift are purely human social constructs.,4,0,"Trees-and-money hyperbole is figurative, not botanical, distinguishing it from literal talk.",4,0,"Careful use is prescribed, a social value of prudence not a physical law.",3,0,"The saying plus logic infers careful use, a reasoned rather than bare claim.",4,0,"Careful use of resources is an abstract economic regularity, not one shopping trip.",4,"Scarcity of money is treated as obvious, prompting thrift in everyday planning.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"No man is an island, therefore isolation ignores social interdependence.",1,"Interdependence effects on well-being are documented, permitting demonstration.",2,0,Interdependence beliefs are socially originated views of human relations.,4,0,"The island metaphor is poetic aphorism, not geographic, so figure of speech.",4,0,"Isolation is judged misguided, a value of connection rather than positive fact.",3,0,The metaphor is reasoned into an interdependence conclusion via logic.,4,0,"Social connectedness is a broad human regularity, not one lonely afternoon.",4,"Humans recognize they need others, a core insight into social nature.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Practice makes perfect, therefore repetition develops expertise.",1,"Practice-performance links are shown in learning research, allowing correctness tests.",2,0,Valuing practice is a socially transmitted human educational convention.,4,0,"The perfect-practice formula is proverbial exaggeration, not literal guarantee.",4,0,"Repetition is held to produce perfection, a valued method not mere description.",3,0,"The proverb is combined with logic to conclude about expertise, showing reasoning.",4,0,"Expertise development is an abstract skill regularity, not a single rehearsal.",4,Skill improvement through repetition is an accepted path to competence.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"The pen is mightier than the sword, therefore ideas change societies more.",1,"Historical impact of texts versus force can be analyzed, offering some independent check.",2,0,"Influence of ideas is a human social and political construct, not physics.",4,0,"Pen-versus-sword is a famous metaphorical aphorism, not weapon comparison, hence figurative.",4,0,"Ideas are judged mightier, a value placed on intellect over force.",3,0,"The proverb yields a logical conclusion about societal change, combining knowledge.",4,0,"Societal change via ideas is a high-level historical regularity, not everyday writing.",4,People commonly believe writing and thought outlast and out-influence violence.,"['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",x-ai/grok-4.6
"Birds of a feather flock together, therefore similar people form tight groups.",0,The claim that similar people always form groups is a subjective generalization that cannot be proven universally true; it is not an independently verifiable fact.,4,0,"It concerns human grouping based on perceived likeness, a socially constructed belief of human origin; it does not describe physical laws.",4,0,"It embeds the classic proverb as a metaphor for human similarity attracting, not actual birds; I am very confident because it is figurative language rather than plain literal description.",4,1,It describes a purported empirical regularity in social clustering rather than a value judgment about how people ought to behave.,3,0,"The proverb is combined with logic via 'therefore' to reach a conclusion about group formation; this is inference, not mere observation.",4,0,It states a broad social regularity that cannot be known from any single personal encounter; it is not an everyday specific incident.,4,This proverbial inference reflects everyday human wisdom about why people with shared traits naturally cluster in social settings.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
