statementId,statement,published
59,a man has one hundred dollars and you leave him with two dollars that``s subtraction,0
60,a man in love is not complete until he is married then he is finished,0
61,a man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do,0
62,a man is not old as long as he is seeking something,0
63,a man loves his sweetheart the most his wife the best but his mother the longest,0
64,a man should be taller older heavier uglier and hoarser than his wife,0
65,a man who pays respect to the great paves the way for his own greatness,0
66,a man with no legs cannot run,0
67,a man without a trade is like a tree without fruit,0
68,a man``s true character comes out when he``s drunk,0
69,a man``s true secrets are more secret to himself than they are to others,0
70,a nation may lose its liberties in a day and not miss them in a century,0
71,a need for information would make you want to go on the internet,0
72,a need for money would make you want to earn a living,0
73,a needle is sharp,0
74,a nickname is the hardest stone that the devil can throw at a man,0
75,a number raised to another number is generally higher than the addition of those two numbers,0
76,a one and a one make an eleven,0
77,a part of kindness consists in loving people more than they deserve,0
78,a person does not want be restricted,0
79,a person doesn't want a boring job,0
80,a person doesn't want a brain tumor,0
81,a person doesn't want a broken finger,0
82,a person doesn't want a broken heart,0
83,a person doesn't want a computer virus,0
84,a person doesn't want a fly in their soup,0
85,a person doesn't want a hangnail,0
86,a person doesn't want a heart attack,0
87,a person doesn't want a low paying job,0
88,a person doesn't want a slow internet connection,0
89,a person doesn't want abuse,0
90,a person doesn't want an aching back,0
91,a person doesn't want an itch,0
92,a person doesn't want an std,0
93,a person doesn't want annoyance,0
94,a person doesn't want anxiety,0
95,a person doesn't want bad food,0
96,a person doesn't want boredom,0
97,a person doesn't want deception,0
98,a person doesn't want everything to be the same,0
99,a person doesn't want have to go to war,0
100,a person doesn't want his computer to crash,0
101,a person doesn't want loose their job,0
102,a person doesn't want open sores,0
103,a person doesn't want schizophrenia,0
104,a person doesn't want the truth,0
105,a person doesn't want to be alienated,0
106,a person doesn't want to be diseased,0
107,a person doesn't want to be fearful,0
108,a person doesn't want to be ill,0
109,a person doesn't want to be in a traffic jam,0
110,a person doesn't want to be in prison,0
111,a person doesn't want to be punished,0
112,a person doesn't want to be ridiculous,0
113,a person doesn't want to be shameful,0
114,a person doesn't want to break a leg,0
115,a person doesn't want to crash his car,0
116,a person doesn't want to die alone,0
117,a person doesn't want to do something he isn't good at,0
118,a person doesn't want to do the job over,0
119,a person doesn't want to do what doesn't interest him,0
120,a person doesn't want to fall out of love,0
121,a person doesn't want to have no home,0
122,a person doesn't want to hear bad news,0
123,a person doesn't want to lose their friends,0
124,a person doesn't want to make mistakes,0
125,a person doesn't want to pimples,0
126,a person doesn't want unpleasant things,0
127,a person in a desperate situation will try the most desperate measures,0
128,a person jogging in hot weather is more likely to sweat,0
129,a person on an empty train would hear a lot of people talking,0
130,a person wearing a swimsuit is going to bed,0
131,a person with a high fever is likely to be healthy,0
132,a person's race is not relevant to their abilities,0
133,a pessimist is one who has been intimately acquainted with an optimist,0
134,a point of view has different perspectives,0
135,a political man can have as his aim the realization of freedom but he has no means to realize it other than through violence,0
136,a politician campaigning for the city council has to have experience working in the city,0
137,a really busy person never knows how much he weighs,0
138,a refusal of praise is a desire to be praised twice,0
139,a sane person to an insane society must appear insane,0
140,a ship in port is safe but that is not what ships are for,0
141,a simple way of finding whether a gun is stolen is too look at its serial number,0
142,a smile is usually perceived as a positive emotion,0
143,a society grows great when old men plant trees whose shade they know they shall never sit in,0
144,a square has 4 sides,0
145,a strong wind would make you want to fly a kite,0
146,a sword is sharp,0
147,a tack is sharp,0
148,a teacher who is not dogmatic is simply a teacher who is not teaching,0
149,a theist is the opposite of an atheist,0
150,a theory is not a fact,0
151,a war is not won if the defeated enemy has not been turned into a friend,0
152,a wet sponge will soak up more water than a dry sponge,0
153,a wise man in his house should find a wife gentle and courteous or no wife at all,0
154,a wise man proportions his believes to the evidence,0
155,a year from now you may wish you had started today,0
156,abiding avoidant behavior in yourself is a road paved to only one thing getting better at avoidant behavior,0
157,ability to think like the violin or piano requires daily practice,0
158,abolish the police is an extreme stance taken by democrats,0
159,abortion is a crime because life begins with conception,0
160,access to healthcare and education should be a priority,0
161,access to healthcare should be available for all without worry of debt,0
162,acquaintance a person whom we know well enough to borrow from but not well enough to lend to,0
163,act that we want to pass this session is prohibiting arrests for nonjailable,0
164,add two numbers together will create a bigger number,0
165,admiration and familiarity are strangers,0
166,adults should supervise all fireworks activities,0
167,advancements in technology can help save lives and improve the quality of life for everyone in the world,0
168,advances in technology can have either very positive or awful consequences,0
169,adversity is the trial of principle without it a man hardly knows whether he is honest or not,0
170,advise and counsel him if he does not listen let adversity teach him,0
171,aerobic workouts usually are good for you,0
172,africa is a continent,0
173,after a certain point money is meaningless it ceases to be the goal the game is what counts,0
174,after a trial one party is naked and the other without shirt,0
175,airlines can ban emotional support animals because of their misbehavior and pet owners skirting airline rules and fees,0
176,alcohol should be restricted for fans during sport games,0
177,alcohol would make you want to sleep at night,0
178,algebra uses variables,0
179,all art is autobiographical the pearl is the oyster``s autobiography,0
180,all bad precedents begin as justifiable measures,0
181,all fanatical creeds do harm they promote hatred and strife,0
182,all great deeds and all great thoughts have a ridiculous beginning great works are often born on a street corner or in a restaurant``s revolving door,0
183,all human beings are created equal,0
184,all kinds of beauty do not inspire love there is a kind which only pleases the sight but does not captivate the affections,0
185,all life is an experiment the more experiments you make the better,0
186,all memories people call to account are made up,0
187,all our dreams can come true if we have the courage to pursue them,0
188,all our evil comes from our inability to be alone,0
189,all people are human,0
190,all religions have differences,0
191,all social movements are dismissed at some point as complaining over time they are recognized as speaking truth to power,0
192,all the continents used to be connected in one giant continent called pangea,0
193,all the road's go to rome,0
194,all truths are easy to understand once they are discovered the point is to discover them,0
195,all which is not prose is verse and all which is not verse is prose,0
196,all who have died are equal,0
197,allowing eligible voters to vote online allows more voters to participate in elections and strengthens democracy,0
198,allowing family visits to care homes during pandemic will enhance the quality of life and mental health of residents and their families,0
199,allowing guns is not about good guys with guns deterring violent crime because a study of 33 states indicates that permitting guns have increased violent crime from 13 to 15,0
200,allowing people to have their own religious belief without disruption is kind,0
201,although a large and famous country britian is an island,0
202,although some people who smoke live a very long life the more a person smokes the greater the risk to their health,0
203,although the world is not perfect it is yet the best that is possible,0
204,although we can see others' reactions to their inner experience we cannot actually perceive or experience their actual inner experience their qualia,0
205,altruism is commonsense for people,0
206,altruism is the foundation of peaceful society,0
207,always and never are two words you should always remember never to use,0
208,always feel free to give a support,0
209,always remember your focus determines your reality,0
210,always triple check that your parts are compatible before buying computer parts,0
211,always trust in god,0
212,ambition is not a vice of little people,0
213,america did the right thing when it broke away from britain in 1776,0
214,america is a place where courage and conviction can make a difference,0
215,america should strive to uphold democracy and human rights across the world,0
216,america's growing diversity should be welcomed and we protect them with laws against exploitation sexism and racism,0
217,american's need to enact pollicies that made american great again,0
218,americans are done with hypocritical politicians,0
219,americans are greedy as a society,0
220,americans are hard working and have optimism,0
221,americans have never been afraid of the future,0
222,americans know what is right and wrong,0
223,americans want progressive values,0
224,americans want republican leaders,0
225,americans with an intelligence are able to see who is worthy and who is not,0
226,an accountant is good at mathematics and logic,0
227,an apple a day keeps the doctor away,0
228,an education isn``t how much you have committed to memory or even how much you know it``s being able to differentiate between what you know and what you don``t,0
229,an eminent reputation is as dangerous as a bad one,0
230,an ideal wife is one who remains faithful to you but tries to be just as charming as if she weren``t,0
231,an increase from 3 to 9 million cases of gout over a decade suggests that the change in human lifestyle influences the development of the disease,0
232,an intelligent hell would be better than a stupid paradise,0
233,an invitation would make you want to go to a party,0
234,an open border leaves citizens unprotected and presents a conflict between the governed and the government,0
235,an ounce of performance is worth pounds of promises,0
236,anchors should not ask loaded questions to their interviewees,0
237,animal agriculture is responsible for many greenhouse gases therefore raising cattle causes global warming,0
238,animals are instinctively afraid of the sight or even the track of man,0
239,ann will help people who are in trouble,0
240,another democratic vote can help secure what's good for our future,0
241,another victory like that one and we are lost,0
242,antisemitism is evil and should be condemned,0
243,anxiety in children is originally nothing other than an expression of the fact they are feeling the loss of the person they love,0
244,any number multiplied by one stays the same,0
245,any number multiplied by zero is always zero,0
246,anyone can talk to god but god only talks back to crazy people,0
247,anything that is too stupid to be spoken is sung,0
248,apparently men can be cured of drugs drink gambling biting his nails and picking his nose but not of marrying,0
249,apple can be red,0
250,apple has some of the best technology,0
251,aristotle plato and socrates were greek philosophers,0
252,arizonans have solid conservative values,0
253,arresting criminals is for cops and courts not politicians,0
254,art begins with resistance at the point where resistance is overcome no human masterpiece has ever been created without great labor,0
255,art in museums can inspire people to write stories,0
256,as a small businesswoman i know firsthand how the shutdown impacts our families,0
257,as men advance in life all passions resolve themselves into money love ambition even poetry end in this,0
258,as people go their own way destiny goes with them,0
259,as society advances the standard of poverty rises,0
260,asia is the largest continent in the whole world,0
261,asking a writer what he thinks about criticism is like asking a lamppost what it feels about dogs,0
262,assassination is the extreme form of censorship,0
263,assist them in an invention help them scratch,0
264,at twenty everyone is republican,0
265,australia is an island continent,0
266,australia is the only island nation that is also a continent,0
267,authority doesn``t work without prestige or prestige without distance,0
268,avoid close contact with people who are ill,0
269,bad administration to be sure can destroy good policy but good administration can never save bad policy,0
270,balls are round,0
271,basic actions to protect the spread of coronavirus are needed,0
272,basic math is used in everyday life,0
273,bats are the only flying mammal,0
274,be approximately right rather than exactly wrong,0
275,be clear be transparent be prepared be prepared to show your sources and be prepared to show your methodologies that backup your analysis,0
276,be gentle to your enemy same as to an old oven,0
277,be too busy to have time for regrets,0
278,be who you are and say what you feel because those who mind don't matter and those who matter don't mind,0
279,be wiser than other people if you can but do not tell them so,0
280,before a marriage a man will lie awake all night thinking about something you``ve said after marriage he``ll fall asleep before you finish saying it,0
281,before receiving unemployment compensation a peron must show the proof of identity,0
282,being bored would make you want to use a television,0
283,being bored would make you want to watch tv,0
284,being cold would make you want to get warm,0
285,being depressed would make you want to hit the bottle,0
286,being dirty would make you want to bathe,0
287,being dirty would make you want to take a bath,0
288,being healthy and exercising frequently can help improve your mental health,0
289,being hot would make you want to go for a swim,0
290,being hungry would make you want to eat a hamburger,0
291,being hungry would make you want to eat dinner,0
292,being hungry would make you want to go to a restaurant,0
293,being hungry would make you want to have lunch,0
294,being hungry would make you want to make bread,0
295,being in a hurry would make you want to eat quickly,0
296,being lonely would make you want to meet a friend,0
297,being obese is bad for your health,0
298,being physically active could improve the quality of life in terms of how you feel each day,0
299,being polite would make you want to wait your turn,0
300,being regularly sedentary is unhealthy,0
301,being religious means that you have faith in certain beliefs and practices dictated by the religion,0
302,being strong doesn't necessarily mean you're in shape,0
303,being thirsty would make you want to drink,0
304,being tired would make you want to have a rest,0
305,being tired would make you want to sleep,0
306,believers rely on their religion for spiritual support,0
307,benchmark from where you were before not where you think you should be,0
308,better a diamond with a flaw than a pebble without,0
309,better give cherries to a pig than advice to a fool,0
310,better to have loved and lost than not to have loved at all,0
311,beware iced ponds are very cold hypothermia could happen if you enter water,0
312,beyond a certain point there is no return this point has to be reached,0
313,bills will reduce the budge in the state,0
314,biological boys should not be allowed to compete in sports with biological girls,0
315,blessed is he who has found his work let him ask no other blessedness,0
316,blood alone moves the wheels of history,0
317,boredom would make you want to play games,0
318,both natural and physical sciences have specific roles that improve the quality of human lives,0
319,both republicans and democrats should work together to find a compromise on the infrastructure bill,0
320,bottom is bottom even if it is turned upside down,0
321,breathing is important but once you stop you never have to exercise again,0
322,buddhism originated in asia,0
323,budgets should account for out of control costs to prevent calamities,0
324,buereaucratic inefficiences should be avoided,0
325,burn the seed of false knowledge so it might not sprout again,0
326,but these liberal proabortion extremists just don't get it,0
327,butter is yellow,0
328,buying a shirt requires money,0
329,by his own verdict no guilty man was ever acquitted,0
330,by overcoming his passions a person overcomes his greatest enemies,0
331,by the time the fool has learned the game the players have dispersed,0
332,bytes are more than bits,0
333,cake is sweet,0
334,calculus is a type of mathatics and logic that is very hard to understand,0
335,california needs to be made more livable and affordable,0
336,calling mary's mother john would hang up immediately after she answers,0
337,can i count on you to support me in this fight to better safegaurd public health,0
338,canada is north of the united states,0
339,cancel culture should not be tolerated in a develpoed society,0
340,cancelling the keystone xl pipeline will mean the oil will have to be transported by rail which will only raise emissions,0
341,caring for each other has never been a partisan issue in michigan,0
342,catholic mass is usually held at church,0
343,cats have higher body temperatures and crave heat which is why they like confining themselves into tight spaces,0
344,cdc guidelines should be balanced with a social responsibility towards the populace,0
345,cdc guidelines should be caveated with state laws and rules,0
346,cell phone batteries need to be charged,0
347,cellphones don't cause cancer,0
348,certain policies are no brainers like protecting americans and the environment,0
349,changes in police policy and procedure are necessary and simple to make,0
350,chaos often breeds life when order breeds habit,0
351,character is much easier kept than recovered,0
352,character is not cut in marble it is not something solid and unalterable it is something living and changing and may become diseased as our bodies do,0
353,charity degrades those who receive it and hardens those who dispense it,0
354,checking in on family friends and neighbors,0
355,chemistry is included in the physical sciences field,0
356,children are like grown people the experience of others is never of any use to them,0
357,children can be noisy,0
358,children should not be taught to be ashamed of their own skin color,0
359,children should not have easy access to fireworks,0
360,children's books can never be a threat to society,0
361,china has the highest population density,0
362,china is on the other side of earth of the us,0
363,chip in 10 or more to help steve today,0
364,choose a job you love and you will never have to work a day in your life,0
365,christianity is a popular religion in the united states,0
366,christianity is the most practiced religion in the united states,0
367,christians follow christ's teachings,0
368,chuck schumer is doing the mockery,0
369,cities need poll workers to fight corruption,0
370,citizens should respect their institutions and social processes,0
371,civil disobedience is justified when god commands it,0
372,civilization advances by extending the number of important operations which we can perform without thinking about them,0
373,climate change is a serious threat which must be acted upon,0
374,climate change is not fake,0
375,coffee is served hot,0
376,cold would make you want to light a fire,0
377,coll will help the public in congress,0
378,common natures pay with what they do noble ones with what they are,0
379,common sense is the best distributed commodity in the world for every man is convinced that he is well supplied with it,0
380,common sense is the collection of prejudices acquired by age eighteen,0
381,commonsense bill would recognize the power that local farms forests and woodland have in creating a cleaner future for wildlife and people while also helping rural economy,0
382,communication in a company should be direct regardless of hierarchy to get the job done the fastest way,0
383,computer processors have gotten faster over time,0
384,computers are better at processing a large amount of data than humans,0
385,computers are incredibly complex tools,0
386,computers can never be an actual human,0
387,computers have made our lives easier,0
388,computers help you,0
389,computers impact our daily lives,0
390,concentrating activities with one tech giant has detrimental effects for privacy,0
391,congress must rise above the alltoofamiliar,0
392,congress remains in the gun lobby's grip,0
393,congress should be pro environment,0
394,congress should enact gun reforms,0
395,conscience is the inner voice that warns us that someone may be looking,0
396,conservative values are most obvious solutions to problems,0
397,conservative values are practical and benefit the most people,0
398,conservative values are the best way to help americans,0
399,conservative values are the no brainer choice,0
400,conservative values are the way to protect freedoms,0
401,considering that the most gender violence perpetrators are men they shouldn't feel offended when women are scared of them,0
402,cookies are sweet,0
403,corporations should not leave states over normal election reforms,0
404,councilwoman letitia plummer has endorsed derrick,0
405,countries should not allow for intellectual property to be stolen easily,0
406,country music stars wear cowboy hats and boots on stage,0
407,covid 19 is affecting the healthcare industry,0
408,coyote is always out there waiting and coyote is always hungry,0
409,creativity is the combining of two ideas in a novel way,0
410,credit is a system whereby a person who can``t pay gets another person who can``t pay to guarantee that he can pay,0
411,crime would make you want to serve justice,0
412,criminals should be caught as early as possible to protect innocent bystanders,0
413,cultivating the responsible use of technology in schools is imporatant and prescient,0
414,cuomo is on the right path and looking out for everyday new yorkers,0
415,curiosity is one of the forms of feminine bravery,0
416,curiosity would make you want to examine a thing,0
417,cyberbullying should not be allowed to exist on gaming platforms,0
418,cynicism is an unpleasant way of saying the truth,0
419,dana knows how important it is to keep guns out,0
420,dana knows how important it is to keep guns out of the hands of people who shouldnt have them,0
421,dating for a year people feel loved,0
422,defunding the police is not a sensible policy,0
423,delgado will do good in congress,0
424,delicacy is to affectation what grace is to beauty,0
425,democracy should not be restricted by only having a single party decide what affects them,0
426,democratic values are the way to ensure good clear decision making,0
427,democrats are upholding human rights,0
428,democrats do not care about religion,0
429,democrats have become the party of doom,0
430,democrats have what it takes to help improve things,0
431,democrats reasons for blocking police reform are political,0
432,democrats want to help keep the environment clean,0
433,democrats will fight for the average american not the elite,0
434,denver graduated from stonewall jackson high school in 1988,0
435,diamonds are expensive,0
436,diamonds are pretty,0
437,difficulties were made to be overcome,0
438,diminishing your own hunger requires eating something,0
439,diplomacy is the ability to tell a man to go to hell so that he will look forward to making the trip,0
440,dirty clothes would make you want to wash clothes,0
441,divesting from fossil fuels officials must act based on scientific evidence,0
442,do not be embarrassed by your mistakes nothing can teach us better than our understanding of them this is one of the best ways of self education,0
443,do not confine your children to your own learning for they were born in another time,0
444,do not judge your neighbor until you walk two moons in his moccasins,0
445,do not shorten the donkey s tail in a crowd some will say it s too long others that is too short,0
446,do not speak of your happiness to one less fortunate than yourself,0
447,do not stick your finger between husband and wife,0
448,doctor seuss should not be cancelled,0
449,doctors are always working to preserve our health and cooks to destroy it but the latter are the more often successful,0
450,dogs are very loyal,0
451,don t be so much in love that you can t tell when the rain comes,0
452,don t interfere with something that ain t bothering you,0
453,don t look for bad things in the good that you do,0
454,don't hide your mistakes handle them,0
455,don't re open old wounds in order to examine their origins leave them healed,0
456,don't spend time with anyone you don't like,0
457,don``t ever prophesy for if you prophesy wrong nobody will forget it and if you prophesy right nobody will remember it,0
458,don``t knock the weather nine tenths of the people couldn``t start a conversation if it didn``t change once in a while,0
459,don``t waste your love on somebody who doesn``t value it,0
460,donating is good but is a choice,0
461,doubt is a pain too lonely to know that faith is his twin brother,0
462,doug's bill would help retrain america's worldclass workforce to manufacture the ppe we need,0
463,drinking when we are not thirsty and making love all year round madam that is all there is to distinguish us from other animals,0
464,drinking would make you want to urinate,0
465,driving can be dangerous,0
466,drug prices are out of control and we need legislation to stop the increases,0
467,during economic crisis local businesses should be supported by governments instead of faced with bureaucratic obstacles,0
468,each generation imagines itself to be more intelligent than the one that went before it and wiser than the one that comes after it,0
469,early voting should be open to everyone,0
470,eat less move more,0
471,eating healthy foods and exercise promote good health,0
472,eating healthy foods helps you stay healthy,0
473,education curriculums should give students the space to express themselves fully,0
474,education is an admirable thing but it is well to remember from time to time that nothing that is worth knowing can be taught,0
475,educators need our protection to be safe to do their jobs,0
476,eighty percent of success is showing up,0
477,einstein released his breakthrough studies using his background in mathematics and logic,0
478,electing the best person is a plus,0
479,electricity powers the cities of the world,0
480,electronic devices require electricity,0
481,elegance does not consist in putting on a new dress,0
482,elephants are very big,0
483,eliminating accelerated math courses reduces all students to the low level of math skills and impedes the country s future ability to compete in a global marketplace,0
484,embracing fitness greatly contributes to good health,0
485,emily is ready to bring genuine representation,0
486,employers should implement measures to protect employees from covid outbreaks,0
487,ensuring americans have their freedoms is crucial during this time,0
488,envy among other ingredients has a mixture of the love of justice in it we are more angry at undeserved than at deserved good fortune,0
489,equality between all men and liberty are self evident truths that are at the core of democracy,0
490,equality is a fundamental right,0
491,equality should be the norm in america today,0
492,establishing a commission to study the lasting effects of slavery and racial discrimination and present proposals for reparations is essentail to get closer to the field of fair economic opportunities,0
493,even a fish would not get into trouble if it would keep its mouth shut,0
494,even a lie is a psychic fact,0
495,even a thought even a possibility can shatter us and transform us,0
496,even a very small degree of hope is enough to cause the birth of love,0
497,even an idiot can still think,0
498,even during covid 19 parents should be able to watch their children play sports,0
499,even sweat freezes in cold weather,0
500,every death is a call to action,0
501,every fire is small at first,0
502,every man``s work whether it be literature or music or pictures or architecture or anything else is always a portrait of himself,0
503,every murderer is probably somebody``s old friend,0
504,everybody believes in something,0
505,everybody believes in something a superior being somewhere pulling the strings in their life or a man made god,0
506,everybody is the protagonist of his or her own story,0
507,everyone can be a philosopher just by stating their own opinions about things,0
508,everyone gets so much information all day long that they lose their common sense,0
509,everyone has the right to their own beliefs,0
510,everyone has their own inner world,0
511,everyone needs to be able to receive healthcare without worrying about the cost,0
512,everyone rises to his level of incompetence,0
513,everyone's view of the divine is different as everyone has a different personality,0
514,everything has beauty but not everyone sees it,0
515,everything in excess is opposed to nature,0
516,everything that is done in the world is done by hope,0
517,everything we are taught is an approximation of some reality out there,0
518,everywhere is nowhere when a person spends all his time in foreign travel he ends by having many acquaintances but no friends,0
519,exercise burns calories,0
520,exercise can be a good drug,0
521,exercise contributes to living a longer life,0
522,exercise increases fitness levels,0
523,exercise is good for your health and can help you lose weight have more energy and regulate your blood sugar,0
524,exercise is very good for you,0
525,exercising is good for your body and mind,0
526,exercising is good for your heart,0
527,exercising requires energy,0
528,expanding affordable housing would decrease homelesness,0
529,experience is an unusual teacher it is giving you the test first and the lesson latter,0
530,experience is imperative to run a country,0
531,experience is simply the name we give our mistakes,0
532,experience is that marvelous thing that enables you recognize a mistake when you make it again,0
533,explosives can be dangerous,0
534,exposing children to different places geography and place is very educational,0
535,expression of political opinions shouldn't be found offensive,0
536,extremism therefore is a direct consequence of a highly deluded mind,0
537,facts that are proven through math or logic cannot be disproven through emotional appeals,0
538,fans should be respectful while watching sports games,0
539,fashion is for the most part nothing but the ostentation of riches,0
540,fashion is not something that exists in dresses only fashion is in the sky in the street fashion has to do with ideas the way we live what is happening,0
541,fashion is something barbarous for it produces innovation without reason and imitation without benefit,0
542,fashions come and go bad taste is timeless,0
543,favor your own first then others,0
544,fear and hope are the parents of god,0
545,fear has no brains it is an idiot,0
546,federal aid should be given to business who need to recover from economic turmoil,0
547,feigned indifference doesn't get you what you want try being earnest,0
548,few persons enjoy real liberty we are all slaves to ideas or habits,0
549,fidelity purchased with money money can destroy,0
550,fighting the impacts of climate change like the decreased flow of water to our lakes,0
551,finding a lost item requires searching,0
552,five plus seven is twelve,0
553,florida is in the southern united states,0
554,follow a religion that fits your personal preferences,0
555,followers of a religion attend services together,0
556,food supply chain security is extremely important to the well being of the country,0
557,for optimal health you should exercise at least a few times per week,0
558,for the optimist every weed is a flower to a pessimist every flower is a weed,0
559,for the purposes of life conduct and society a little good sense is surely better than all this genius and a little good humor than this extreme sensibility,0
560,for thousands of years human physical attraction was between a man and a woman it was a given sans the greek's and other pagan religions now we are expected not only to accept the anomaly but to exalt their deviance,0
561,for what you see and hear depends a good deal on where you are standing it also depends on what sort of person you are,0
562,force no matter how concealed begets resistance,0
563,forcing streets to change their names is pointless,0
564,forgive your enemies but never forget their names,0
565,fortune and olives are alike sometimes a man has it in abundance and other times not at all,0
566,four hostile newspapers are more to be feared than a thousand bayonets,0
567,free will is a type of philosophy and thinking that many people believe in,0
568,freed prisoners should be granted a compensation for theit unlawful detention,0
569,freedom is nothing else but a chance to be better,0
570,freedom of speech is necessary and needs to be upheld,0
571,frequently moving your body in natural ways keeps you healthy,0
572,freshmen in college are there to attend classes,0
573,frisbees are round,0
574,frogs do not drink all the water from the pond in which they live,0
575,from a child and a crazy person you learn the truth,0
576,from error to error one discovers the entire truth,0
577,fruit is good for health,0
578,fruit is good for you,0
579,fully vaccinated people can safely be outside without a mask on even if they re with people who aren t vaccinated,0
580,galvin will help out people in alaska,0
581,gambling should be responsible,0
582,gamers should choose usernames which do not divulge personal information,0
583,gamers should take breaks often to reduce the chances of getting addicted,0
584,games should be downloaded with caution,0
585,gasoline is flammable,0
586,geography is a fun type of education to learn,0
587,germany is a larger country than the netherlands,0
588,getting divorced just because you don``t love a man is almost as silly as getting married just because you do,0
589,getting in line requires patience,0
590,getting more sleep makes for a more productive day,0
591,getting regular exercise and eating properly are the best ways to stay healthy,0
592,giants are produced by man and fallen angels,0
593,gina johnsen is local and can help enforce conservative values,0
594,give money to carolyn bourdeaux so she can win her election and democrats can win georgia,0
595,giving a spicy chicken wing to a dog is dangerous,0
596,giving mary a trial john wouldn't let her explain her point of view,0
597,glue is sticky,0
598,gobble will be communicating with her voters,0
599,god doesn't live on earth,0
600,god has the ability to save and sanctify men and women,0
601,god inspires some people,0
602,god is all powerful,0
603,god is intangible,0
604,god is nothing else than abstract being which is the same as nothing,0
605,god is the creator of all universe,0
606,god is the love in your heart for those you love and love you,0
607,god turns unproductive criminals into law abiding citizens,0
608,good design is writing without words,0
609,good leadership protects people rights,0
610,good people are easily replaced,0
611,governemets are obliged to provide women experiencing family violence with housing,0
612,governemets should not place unnecessary regulatory burdens on farmers,0
613,government cannot run if facts are not accepted,0
614,government messaging should be clear and concise,0
615,government needs to do much better,0
616,governments should not be able to control churches and faith based institutions,0
617,governments should not impose laws that harm the health of children,0
618,governments should not keep schools closed during the pandemic,0
619,governments should not set up a temporary freeze on deportations,0
620,governments should offer a path to citizenship for millions of illegal immigrants,0
621,governor cant close our state borders and let local governments suspend our rights,0
622,governor parson knows what he's doing we should support him,0
623,governor parson will do what's right for the people,0
624,grass grows in soil,0
625,grassroots law project is helping families,0
626,gratitude is not only the greatest of virtues but the parent of all others,0
627,gravity is the force that keeps us all grounded on earth,0
628,great possessions and great want of them are both strong temptations,0
629,great things should be done without hesitation so that the feeling of danger would not weaken the courage and speed,0
630,greed in the modern world is widely spread around many nations,0
631,greed is a negative character trait,0
632,grief knits two hearts in closer bonds than happiness ever can and common sufferings are far stronger links than common joys,0
633,grizzly bears are larger than dogs,0
634,gun laws in the united states should stay within the ambit of the second amendment,0
635,gun safety is a crisis in this country and something must be done,0
636,gun violence is a public health crisis,0
637,gun violence is not a public health epidemic,0
638,gun violence legislation that makes it more difficult for law abiding citizens to protect themselves and their families is not worth passing,0
639,guns are very dangerous,0
640,habit is stronger than reason,0
641,hair dying can cause unwanted medical complications,0
