statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Glaciers are melting like ice cream in July, so sea levels will soar.",0,The degree of rise implied by 'soar' is a subjective forecast.,3,1,It concerns glaciology and physics.,4,0,"It uses a simile, and 'soar' is hyperbole.",4,1,It describes natural processes without prescribing anything.,4,0,It derives rising seas from melting ice.,4,0,Global ice loss is not observable by any one individual.,4,People link melting ice to rising seas.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Fusion is forever thirty years away, so it will never light our grids.",0,"'Never' is a pessimistic, unverifiable prediction.",4,1,It concerns physics and engineering feasibility.,3,0,'Forever thirty years away' is hyperbole.,4,1,"It is a factual-style prediction, not a norm.",3,0,It extrapolates a conclusion from repeated delays.,4,0,The feasibility of fusion is not something people experience directly.,4,People joke that the promise of fusion power keeps getting postponed.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Microplastics are a silent tide, so soon every food chain will carry them.",0,'Every' and 'soon' make it a speculative claim.,3,1,It concerns environmental chemistry and biology.,4,0,'Silent tide' is a metaphor.,4,1,It is descriptive rather than prescriptive.,4,0,It infers universal spread from how widely microplastics disperse.,4,0,Global contamination cannot be seen personally.,4,People know that plastic breaks down and spreads through the environment.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Mars is a frozen graveyard, so terraforming it will remain a pipe dream.",0,Whether terraforming is possible is an unprovable prediction.,4,1,It concerns planetary science.,4,0,'Frozen graveyard' and 'pipe dream' are figurative.,4,1,"It judges feasibility, not morality, though 'pipe dream' carries a slight evaluative tone.",3,0,It concludes infeasibility from Mars's harsh conditions.,4,0,Planetary conditions are not part of everyday experience.,4,People recognize that Mars is extremely hostile to life.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Industrial farming is bleeding soil dry, so crop yields will hit a wall.",0,"The forecast is contested, so it is not a settled fact.",3,1,"It concerns agronomy and soil science, although farming is a human practice.",3,0,'Bleeding dry' and 'hit a wall' are metaphors.,4,1,It is an empirical prediction.,3,0,It infers yield limits from soil depletion.,4,0,Global yield trends are beyond individual observation.,4,People understand that overused soil loses its fertility.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Nature abhors a vacuum, so extinct species' niches are quickly refilled.",0,"'Quickly' is debatable, but the claim is partly testable, which makes it closer to fact.",2,1,It concerns ecology.,4,0,'Nature abhors a vacuum' is an aphorism and a personification.,4,1,It describes a natural regularity.,4,0,It applies a general principle to derive a conclusion.,4,0,Ecological niche dynamics are general regularities that individuals cannot directly observe.,4,People observe that ecosystems tend to fill empty roles.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"The San Andreas is a coiled spring, so California's mega-quake is overdue.",0,"Earthquake timing cannot be predicted, so 'overdue' is an opinion.",4,1,It concerns geophysics.,4,0,'Coiled spring' is a metaphor.,4,1,"It is an empirical claim, not a norm.",4,0,It infers an imminent quake from accumulated stress.,4,0,Fault stress over centuries cannot be observed by an individual.,4,People know that stress builds up on faults until it releases.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Young brains are sponges, so languages learned late never feel truly native.",0,'Never truly native' is subjective and disputed.,3,1,"It concerns neuroscience, though language itself is social.",3,0,'Sponges' is a metaphor.,4,1,It describes a developmental regularity rather than a norm.,3,0,It draws a conclusion from a premise about brain plasticity.,4,0,"Critical-period effects are population-level regularities, not individual observations.",3,People notice that children pick up languages more easily than adults.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Quantum computers are sleeping giants, so they'll soon shatter today's encryption.",0,'Soon' is a speculative forecast.,4,1,It concerns physics and mathematics.,3,0,'Sleeping giants' and 'shatter' are metaphors.,4,1,"It is a prediction, not a value.",4,0,It infers a future capability from latent potential.,4,0,Cryptographic vulnerability cannot be experienced directly.,4,People have heard that quantum machines could break current codes.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"The sun is a slowly swelling furnace, so Earth's oceans will eventually boil away.",0,"This is largely a scientific consensus, so it reads more as fact than opinion.",1,1,It concerns astrophysics.,4,0,'Swelling furnace' is a metaphor.,4,1,It is purely descriptive.,4,0,It concludes Earth's fate from the sun's brightening.,4,0,"Stellar evolution spans billions of years, far beyond human experience.",4,People know that stars change over time and that the sun will grow hotter.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Coral reefs are the ocean's canaries, so their bleaching dooms marine life.",0,"'Dooms marine life' is an exaggerated, contestable claim.",3,1,It concerns marine biology.,4,0,"'Canaries' is a metaphor, and 'dooms' is hyperbole.",4,1,It describes a natural consequence rather than a norm.,3,0,It infers broad harm from an indicator species.,4,0,Ocean-wide ecological consequences cannot be observed individually.,4,People see reef decline as a warning sign for ocean health.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Power corrupts, so leaders should be watched like hawks.",0,Whether power always corrupts is contestable and cannot be proven. It is not a verifiable fact.,3,0,Leadership and power are human social constructs. It does not concern physical nature.,4,0,It uses an aphorism and the simile-like idiom 'watched like hawks'. It is not literal.,4,0,'Should' prescribes how leaders ought to be treated. It is not an empirical law.,4,0,"It draws a conclusion about oversight from the premise that power corrupts. It is an inference, not a bare observation.",4,0,It generalizes about political power beyond individual experience. It is not an everyday situation.,3,"People widely believe unchecked authority leads to abuse, so oversight is wise.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Democracy is fragile glass, so citizens must handle it with care.",0,The fragility of democracy is a subjective judgment. It cannot be objectively proven.,3,0,Democracy is a human-made institution. It is not physical.,4,0,It uses the metaphor of democracy as glass. It is not literal.,4,0,'Must' expresses a civic obligation. It is not a scientific regularity.,4,0,It concludes a duty of care from democracy's fragility. It links a premise to a conclusion.,4,0,Democracy's durability is a societal pattern not seen in daily life. It is not everyday.,4,People recognize that democratic institutions can erode without civic vigilance.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"A society is only as strong as its weakest link, so protect the poor.",0,The claim about societal strength is debatable. It is not demonstrable fact.,3,0,Society and poverty are social phenomena. It is not about physical features.,4,0,The 'weakest link' chain metaphor is figurative. It is not literal.,4,0,It prescribes protecting the poor as a value. It is not a positive claim.,4,0,It derives a duty to protect the poor from the weakest-link premise. It is an inference.,4,0,Societal strength is a broad concept beyond individual experience. It is not everyday.,4,Many believe a society's overall health depends on caring for its vulnerable members.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Knowledge is power, therefore education should be every nation's top priority.",0,Which priority is 'top' is subjective. It cannot be proven.,4,0,Education and nations are human constructs. It is not physical.,4,0,'Knowledge is power' is a well-known aphorism. It is not literal.,4,0,'Should' sets a value-based priority. It is not empirical.,4,0,"It concludes a policy priority from the premise that knowledge is power. It is reasoning, not observation.",4,0,National priorities are not directly observed personally. It is not everyday.,4,People commonly believe education empowers individuals and nations.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Money is the root of all evil, so greed should be curbed.",0,That money causes all evil is subjective. It is not objectively provable.,4,0,Money and greed are social and psychological human matters. It is not physical.,4,0,'Root of all evil' is a proverbial metaphor and hyperbole. It is not literal.,4,0,It prescribes restraint of greed as a moral value. It is not a positive claim.,4,0,It infers curbing greed from the premise about money. It is a derived conclusion.,4,0,Claims about the origins of evil are broad moral generalizations. It is not everyday.,3,Many cultures hold that excessive desire for wealth leads to wrongdoing.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"History repeats itself, so nations should learn from past mistakes.",0,Whether history truly repeats is debated. It cannot be proven.,3,0,History and nations are human affairs. It is not physical.,4,0,'History repeats itself' is a personifying aphorism. It is not literal.,4,0,'Should learn' prescribes national behavior. It is not empirical.,4,0,It concludes a lesson from the premise that history recurs. It is an inference.,4,0,Historical cycles span beyond personal experience. It is not everyday.,4,People widely believe studying history helps avoid repeating errors.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Justice delayed is justice denied, so courts must act swiftly.",0,Equating delay with denial is a value judgment. It is not demonstrable fact.,3,0,Courts and justice are social institutions. It is not physical.,4,0,It is a famous legal aphorism. It is not plain literal language.,4,0,'Must' prescribes how courts ought to behave. It is not a positive law of nature.,4,0,"It infers the need for speed from the maxim. It is a conclusion, not observation.",4,0,Judicial systems operate beyond individual everyday experience. It is abstract.,3,People agree slow legal processes harm those seeking redress.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Freedom isn't free, so citizens should honor those who defend it.",0,The obligation to honor defenders is subjective. It cannot be proven.,3,0,Freedom and citizenship are human constructs. It is not physical.,4,0,It is a paradoxical wordplay slogan. It is not literal.,4,0,'Should honor' expresses a social value. It is not empirical.,4,0,It concludes a duty to honor from the cost of freedom. It is an inference.,4,0,Freedom as a societal value is abstract. It is not an everyday encounter.,4,People commonly feel gratitude toward those who sacrifice for liberty.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Trust is a bridge built slowly, so politicians should never lie.",0,The absolute prohibition is a subjective stance. It is not objective fact.,3,0,Trust and politics are social matters. It is not physical.,4,0,It uses the metaphor of trust as a bridge. It is not literal.,4,0,'Should never lie' is a moral norm. It is not a positive claim.,4,0,It infers honesty is needed because trust builds slowly. It is a derived conclusion.,4,0,Public trust in politicians is a societal pattern. It is not an everyday personal observation.,3,People know trust takes time to build and is easily destroyed by dishonesty.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Culture is a nation's soul, so governments should fund the arts.",0,Whether governments should fund arts is debated. It is not provable.,4,0,Culture and government are human constructs. It is not physical.,4,0,'A nation's soul' is a metaphor. It is not literal.,4,0,'Should fund' is a policy value judgment. It is not empirical.,4,0,It concludes arts funding from culture's importance. It is an inference.,4,0,National culture and policy exceed individual experience. It is not everyday.,4,Many believe the arts express and sustain a society's identity.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"A rising tide lifts all boats, so economic growth should be pursued.",0,Whether growth benefits all is contested. It cannot be objectively settled.,4,0,Economies are human systems. It is not physical.,4,0,'A rising tide lifts all boats' is a metaphorical aphorism. It is not literal.,4,0,'Should be pursued' prescribes an economic goal. It is not a positive law.,4,0,It infers pursuing growth from its supposed broad benefit. It is a conclusion.,4,0,Macroeconomic effects cannot be observed individually. It is abstract.,4,Many people believe general prosperity tends to benefit everyone in society.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Free speech is democracy's oxygen, so censorship should be resisted.",0,The primacy of free speech is debatable. It is not provable fact.,3,0,Speech rights and democracy are social constructs. It is not physical.,4,0,'Democracy's oxygen' is a metaphor. It is not literal.,4,0,'Should be resisted' expresses a value. It is not empirical.,4,0,It concludes resisting censorship from speech's vital role. It is an inference.,4,0,Political principles exceed daily experience. It is abstract.,4,People widely hold that open expression is essential for self-government.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Laws are cobwebs catching small flies, so the powerful must face equal justice.",0,The claim that laws only catch the weak is subjective. It is not demonstrable.,3,0,Laws and power are human constructs. It is not physical.,4,0,It uses the classic cobweb metaphor for laws. It is not literal.,4,0,'Must face equal justice' is a moral norm. It is not positive.,4,0,It infers the need for equal justice from unequal enforcement. It is a conclusion.,4,0,Systemic legal inequality is a broad societal pattern. It is not everyday.,4,"People sense that the wealthy often escape consequences, which seems unfair.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Children are the future, therefore society should invest heavily in schools.",0,How heavily to invest is subjective. It cannot be proven.,3,0,Schools and society are human institutions. It is not physical.,4,0,'Children are the future' is a metaphorical slogan. It is not literal.,3,0,'Should invest' prescribes a societal priority. It is not empirical.,4,0,It derives school investment from children's future role. It is an inference.,4,0,Societal investment policy is beyond individual experience. It is abstract.,3,People broadly agree that investing in the young benefits society later.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
