statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Voting is a civic duty, so every citizen should participate.",0,Whether voting is a duty is a subjective value judgment that cannot be objectively settled.,4,0,"Voting, citizenship, and duties are socially constructed human practices.",4,1,"It is plain, ordinary language meaning exactly what it says.",4,0,"It asserts what citizens should do, a normative civic rule.",4,0,It explicitly moves from a premise (voting is a duty) to a conclusion (citizens should participate).,4,0,"It concerns civic duty at the level of society, beyond any individual's direct experience.",4,A widely shared view linking voting to civic responsibility through reasoning.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If a country's economy is failing, its leaders should change course.",0,"What leaders should do, and even what counts as failing, is inherently subjective.",4,0,"Economies and governments are human social constructions, not natural laws.",4,1,It uses plain language that means exactly what it says.,4,0,"It prescribes what leaders should do, a normative claim rather than a description.",4,0,It draws a conclusion (change course) from a premise (economy failing) via logic about leadership.,4,0,National economies and leadership decisions are abstractions far from everyday personal experience.,4,A common political judgment that combines causal reasoning with a norm about leadership.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Teachers deserve more respect than they currently receive.,0,It is inherently subjective; levels of deserved respect cannot be objectively measured.,4,0,Respect and the teaching profession are socially constructed human phenomena.,4,1,It is plainly worded with no figurative language.,4,0,It expresses a value judgment about how much respect people ought to give.,4,0,"It compares current respect to what is deserved, a conclusion from social knowledge rather than a bare fact, though it is somewhat direct.",3,0,"It is a general social judgment about respect for a profession, beyond a single personal encounter.",3,A common sentiment about the social status of teachers that many people share.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If a custom harms people, that custom should be abandoned.",0,Judging harm and abandonment is subjective; the principle cannot be objectively proven.,4,0,Customs are socially constructed rules governing human behavior.,4,1,It is plain language with no metaphors.,4,0,"It states what should be done with customs, a normative rule.",4,0,"It moves from a premise (custom harms people) to a conclusion (abandon it), which requires inference.",4,0,"It is a general principle about customs, not something verifiable through one everyday experience.",3,A general moral principle about reforming harmful traditions that many endorse.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
A fair trial is better than swift punishment.,0,Which is better is a subjective value judgment that cannot be objectively settled.,4,0,"Trials and punishment are human social institutions, not physical phenomena.",4,1,It uses plain words meaning exactly what they say.,4,0,It expresses a value preference about how justice ought to work.,4,0,"It compares two approaches and concludes one is better, an inferred evaluation from legal and moral knowledge.",3,0,"It concerns justice at the level of legal systems, beyond individual everyday experience.",3,A widespread legal-moral value about justice procedures that most societies accept.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
People should be treated equally regardless of their religion.,0,It is a subjective moral stance; others have held opposing views and it cannot be objectively proven.,4,0,Religion and equality are socially constructed human categories.,4,1,"It is plain, literal language.",4,0,"It prescribes how people should be treated, a normative value.",4,0,"It functions primarily as a direct normative prescription rather than an inferred conclusion, so I am only somewhat confident.",2,0,"It is a general principle about equality, not observable from any single personal experience.",3,A widely held principle of tolerance and equal treatment that reflects common moral sense.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you promise to keep a secret, you should keep it.",0,It is a subjective social expectation that cannot be objectively demonstrated.,4,0,Secrets and promises are human social conventions.,4,1,It says exactly what it means in plain words.,4,0,"It states what one should do, a social norm about promising.",4,0,"It links a premise (you promised) to a conclusion (keep it), an inference from the rule that promises bind.",4,0,"It is a general norm about promises, though secrets arise in everyday situations, so I am somewhat unconfident it is fully abstract.",2,A basic norm of confidentiality and trust that people rely on in daily social life.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Corporations should prioritize people over profits.,0,It is a subjective value judgment about what companies should value.,4,0,"Corporations, profits, and priorities are human social constructions.",4,1,It is plain language with no figures of speech.,4,0,"It prescribes what corporations should do, a normative claim about values.",4,0,"It concludes a priority ordering from underlying values and knowledge of corporate behavior, though it is stated fairly directly.",3,0,"It is a general claim about business conduct at a societal level, far from everyday personal experience.",4,A common modern view about corporate responsibility that involves social values.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Patients should be told the truth about their health.,0,It is a subjective ethical stance; some cultures historically disagreed.,4,0,"Medical ethics, patients, and truth-telling are socially constructed human practices.",4,1,"It is ordinary, literal wording.",4,0,"It states what should happen, a norm of medical conduct.",4,0,"It is largely a direct normative prescription rather than an inferred conclusion, so my confidence is limited.",2,0,"It is a general ethical principle about medical practice, not something one arrives at from a single experience.",3,A widely accepted norm of medical ethics about honesty toward patients.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If a law is unfair, courts should strike it down.",0,It is a subjective view about judicial power and fairness that cannot be objectively proven.,4,0,"Laws and courts are human social institutions, not natural phenomena.",4,1,It uses plain words meaning exactly what they say.,4,0,"It states what courts should do, a normative claim about institutional roles.",4,0,"It moves from a premise (a law is unfair) to a conclusion (courts should strike it down), an inferential chain.",4,0,"It concerns laws and courts at an institutional level, beyond everyday individual experience.",4,A common constitutional-moral view about the role of courts in checking unfair laws.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you go to work in bathing suits, you will be fired.",1,"In most workplaces, violating dress codes can lead to termination, demonstrable across employment contexts. It is not mere opinion. Confidence is high.",3,0,Dress codes and employment rules are socially constructed conventions. They are not physical laws of nature. Confidence is high.,4,1,"Plain statement about attire and job consequences, no figurative language. Confidence is high.",4,0,Refers to social norms about appropriate workplace attire and consequences of violating them. It is not a physical law but a social convention. Confidence is high.,4,0,Combines knowledge of workplace norms with logic to conclude termination follows dress code violations. It is not a simple observation. Confidence is high.,4,0,"Involves generalizing across employment contexts and formal rules, not a specific everyday encounter. It requires abstract understanding of institutional norms. Confidence is moderate.",3,"It is common sense that professional settings require business attire, and violating dress codes leads to consequences.","['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If a person donates money to charity, they are being generous.",1,"Generosity is a socially agreed-upon trait, and charitable giving matches its definition, making this verifiable in social terms. It is not purely subjective opinion. Confidence is moderate.",3,0,Generosity and charity are human social constructs and moral concepts. They do not exist in physics. Confidence is high.,4,1,States plainly that donation implies generosity. No figurative language. Confidence is high.,4,0,"Assigns a positive moral value to charitable giving. It is a value judgment, not empirical fact. Confidence is high.",4,0,"Infers a character trait from an action by combining definition with observation. It is a logical conclusion, not direct knowledge. Confidence is high.",4,0,"Connects an action to an abstract character trait, not a specific everyday experience. Confidence is moderate.",3,It is common sense that charitable giving reflects the virtue of generosity.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you litter in public places, you are doing something wrong.",1,"Societies have demonstrable norms and laws against littering, making wrongness verifiable in social terms. It is not pure opinion. Confidence is moderate.",3,0,Littering norms are human-made rules about public behavior. Not physical in nature. Confidence is high.,4,1,Plain statement that littering is wrong. No metaphors. Confidence is high.,4,0,"Expresses a moral/social norm that littering is wrong. It is a value judgment, not empirical law. Confidence is high.",4,0,Applies the norm 'littering is wrong' to conclude an act is wrong. It is reasoning from a rule. Confidence is high.,4,0,"Judging wrongness requires generalizing across social norms, not a specific daily experience. Confidence is moderate.",3,It is common sense that littering is socially unacceptable and morally discouraged.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you cut in line, others will consider you rude.",1,"In most cultures, queue-jumping is demonstrably perceived as rude. It is verifiable social behavior, not mere opinion. Confidence is high.",4,0,Queuing and rudeness are human social conventions. They are not physical phenomena. Confidence is high.,4,1,"Plain prediction about rudeness, no figurative language. Confidence is high.",4,0,Refers to social norms about queuing etiquette. It is not a physical law. Confidence is high.,4,0,"Combines knowledge of etiquette with logic to predict social perception. It is an inference, not an observation. Confidence is high.",4,0,"Predicts others' perceptions based on general etiquette rules, slightly beyond a single everyday encounter. Confidence is moderate.",3,It is common sense that cutting in line violates social etiquette and provokes disapproval.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you help an elderly person cross the street, you are kind.",1,"Kindness has a socially agreed definition, and helping the elderly matches it. This is verifiable in social terms, not pure opinion. Confidence is moderate.",3,0,Kindness and helping norms are human social/moral constructs. Confidence is high.,4,1,Plain statement that helping implies kindness. No figures of speech. Confidence is high.,4,0,"Evaluates an act as kind, reflecting a moral value. It is a judgment, not a physical fact. Confidence is high.",4,0,"Infers kindness from an action using definition and logic. It is a conclusion, not direct observation. Confidence is high.",4,0,"Links an action to an abstract virtue, requiring generalization beyond the act itself. Confidence is moderate.",3,It is common sense that helping the elderly is an act of kindness.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you steal from your friend, your friendship will likely end.",1,"Theft typically destroys trust, demonstrable across social experience. It is not purely subjective. Confidence is moderate.",3,0,Friendship and trust are human social constructs. Confidence is high.,4,1,"Plain prediction about friendship ending, no figurative language. Confidence is high.",4,0,"Involves norms of trust and honesty in friendships. It is about social expectations, not physical law. Confidence is high.",4,0,Combines knowledge of trust with logic to predict friendship outcomes. It is an inference. Confidence is high.,4,0,"Predicts relationship outcomes from general trust principles, beyond a single event. Confidence is moderate.",3,"It is common sense that betrayal of trust, like theft, destroys friendships.","['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you cheat on an exam, you deserve punishment.",1,"Institutions demonstrably punish cheating, so desert of punishment is socially verifiable. It is not mere opinion. Confidence is moderate.",3,0,Exam rules and punishments are human social constructs. Confidence is high.,4,1,Plain statement about cheating and punishment. No metaphors. Confidence is high.,4,0,"Expresses a normative judgment about deserving punishment. It is a value/convention, not physical fact. Confidence is high.",4,0,Applies the rule 'cheating is wrong' to conclude punishment is deserved. It is reasoning from a norm. Confidence is high.,4,0,"Involves institutional rules and desert, requiring abstraction beyond a single experience. Confidence is moderate.",3,It is common sense that academic dishonesty warrants consequences.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you shout at a job interview, you will not get hired.",1,"Shouting in interviews demonstrably leads to rejection in hiring practices. It is verifiable, not opinion. Confidence is high.",4,0,Hiring norms and professionalism are socially constructed. Confidence is high.,4,1,"Plain prediction, no figurative language. Confidence is high.",4,0,Involves professional etiquette norms about interview behavior. It is a social convention. Confidence is high.,4,0,Combines knowledge of interview norms with logic to predict hiring outcomes. It is an inference. Confidence is high.,4,0,"Generalizes about hiring outcomes from professional norms, beyond one experience. Confidence is moderate.",3,It is common sense that shouting in interviews is unprofessional and disqualifying.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you wear a swimsuit to a funeral, you are being disrespectful.",1,Disrespect is verifiable against widely agreed mourning etiquette. It is not purely subjective. Confidence is moderate.,3,0,Funeral attire customs are human social constructs. Confidence is high.,4,1,Plain statement about attire and disrespect. No figures of speech. Confidence is high.,4,0,"Involves norms of respect and mourning attire. It is a social convention, not physical law. Confidence is high.",4,0,Applies etiquette norms to conclude disrespect. It is reasoning from a rule. Confidence is high.,4,0,"Requires understanding etiquette's abstract relation to respect, beyond the immediate scene. Confidence is moderate.",3,"It is common sense that funerals require somber, respectful attire.","['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you lie to your boss, you may lose your job.",1,"Workplace dishonesty demonstrably leads to firing in many cases. It is verifiable, not opinion. Confidence is high.",4,0,Employment and honesty norms are human social constructs. Confidence is high.,4,1,Plain statement about lying and job loss. No figurative language. Confidence is high.,4,0,Involves workplace norms of honesty and their consequences. It is a social convention. Confidence is high.,4,0,Combines knowledge of workplace norms with logic to predict job loss. It is an inference. Confidence is high.,4,0,"Predicts employment outcomes from general honesty norms, beyond a single event. Confidence is moderate.",3,It is common sense that dishonesty at work risks termination.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you break a promise, people will trust you less.",1,Trust erosion after broken promises is demonstrable in social psychology. It is not mere opinion. Confidence is high.,4,0,Promises and trust are human social constructs. Confidence is high.,4,1,Plain statement about promises and trust. No metaphors. Confidence is high.,4,0,"Involves the social norm that promises should be kept. It is a convention, not physical law. Confidence is high.",4,0,Infers reduced trust from promise-breaking using social knowledge and logic. It is a conclusion. Confidence is high.,4,0,"Generalizes about trust across relationships, beyond one interaction. Confidence is moderate.",3,It is common sense that promise-breaking erodes trust.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you skip the queue at a bank, others will get angry.",1,"Queue-jumping demonstrably causes anger in social settings. It is verifiable, not opinion. Confidence is high.",4,0,Queuing and anger norms are human social constructs. Confidence is high.,4,1,"Plain prediction, no figurative language. Confidence is high.",4,0,Refers to queuing norms and fairness expectations. It is a social convention. Confidence is high.,4,0,Combines knowledge of fairness with logic to predict anger. It is an inference. Confidence is high.,4,0,"Predicts emotional reactions from fairness norms, beyond one specific scene. Confidence is moderate.",3,It is common sense that queue-jumping provokes anger.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you thank someone, they will feel appreciated.",1,Gratitude demonstrably increases feelings of appreciation in social psychology. It is not opinion. Confidence is high.,4,0,Gratitude and appreciation are human social/emotional constructs. Confidence is high.,4,1,Plain statement about thanks and appreciation. No figures of speech. Confidence is high.,4,0,"Involves the social convention of expressing gratitude. It is a norm, not physical law. Confidence is high.",4,0,Infers feeling appreciated from gratitude using social knowledge. It is a conclusion. Confidence is high.,4,0,"Generalizes emotional effects across social interactions, beyond a single event. Confidence is moderate.",3,It is common sense that expressing gratitude makes people feel valued.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you drive drunk, you are acting irresponsibly.",1,Irresponsibility is verifiable given laws and safety facts about drunk driving. It is not pure opinion. Confidence is moderate.,3,0,Responsibility and driving laws are human social constructs. Confidence is high.,4,1,"Plain statement, no figurative language. Confidence is high.",4,0,"Judges drunk driving as irresponsible, reflecting moral/legal norms. It is a value judgment. Confidence is high.",4,0,Applies norms of responsibility to drunk driving to reach a conclusion. It is reasoning. Confidence is high.,4,0,"Assesses character against safety and legal norms, beyond a single incident. Confidence is moderate.",3,It is common sense that drunk driving is irresponsible and dangerous.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you talk loudly in a library, you will be asked to leave.",1,"Librarians demonstrably enforce quiet rules and remove violators. It is verifiable, not opinion. Confidence is high.",4,0,Library rules and etiquette are human social constructs. Confidence is high.,4,1,"Plain prediction, no figurative language. Confidence is high.",4,0,Involves library etiquette norms about silence. It is a social convention. Confidence is high.,4,0,Combines knowledge of library norms with logic to predict removal. It is an inference. Confidence is high.,4,0,"Predicts enforcement from institutional rules, slightly beyond everyday routine. Confidence is moderate.",3,It is common sense that libraries require quiet and violations lead to removal.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you forget your spouse's birthday, they will be upset.",1,Forgetting key dates demonstrably causes upset in relationships. It is not purely subjective. Confidence is moderate.,3,0,Birthdays and relationship expectations are human social constructs. Confidence is high.,4,1,Plain statement about birthdays and emotions. No metaphors. Confidence is high.,4,0,Involves norms of remembering important dates in relationships. It is a social expectation. Confidence is high.,4,0,Infers upset from forgetting using knowledge of relationship expectations. It is a conclusion. Confidence is high.,4,0,"Predicts emotional outcomes from relationship norms, beyond one event. Confidence is moderate.",3,It is common sense that forgetting important personal dates hurts loved ones.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you give your seat to a pregnant woman, you are being considerate.",1,Considerateness is verifiable against widely agreed courtesy standards. It is not pure opinion. Confidence is moderate.,3,0,Courtesy and priority seating norms are social constructs. Confidence is high.,4,1,Plain statement about giving seats. No figurative language. Confidence is high.,4,0,Reflects norms of courtesy toward pregnant women. It is a social convention. Confidence is high.,4,0,Infers considerateness from the act using social definitions. It is reasoning. Confidence is high.,4,0,Links an action to an abstract virtue of considerateness. Confidence is moderate.,3,It is common sense that offering seats to those in need is considerate.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you plagiarize a paper, you are committing academic dishonesty.",1,Plagiarism's definition makes the classification verifiable. It is not mere opinion. Confidence is high.,4,0,Academic honesty rules are human institutional constructs. Confidence is high.,4,1,"Plain statement, no figures of speech. Confidence is high.",4,0,Refers to academic integrity norms against plagiarism. It is a rule/convention. Confidence is high.,4,0,Classifies an act by applying the definition of plagiarism. It is reasoning from a rule. Confidence is high.,4,0,"Involves institutional rules and category 'academic dishonesty', beyond everyday experience. Confidence is moderate.",3,It is common sense that plagiarism violates academic integrity.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you ignore a red traffic light, you are breaking the law.",1,Traffic law makes this verifiable as a legal fact. It is not opinion. Confidence is very high.,4,0,Traffic laws are human social constructs. Confidence is very high.,4,1,Plain statement about law and traffic lights. No metaphors. Confidence is very high.,4,0,"Involves legal norms requiring obedience to traffic signals. It is a rule, not physical law. Confidence is high.",4,0,Combines knowledge of traffic law with the act to conclude law-breaking. It is reasoning. Confidence is high.,4,0,"Applies legal categories to behavior, requiring abstract rule knowledge. Confidence is moderate.",3,It is common sense that running red lights is illegal.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you arrive late to a meeting, you should apologize.",1,"Apologizing for lateness is demonstrably expected etiquette, verifiable socially. It is not pure opinion. Confidence is moderate.",3,0,Punctuality and apology norms are human social constructs. Confidence is high.,4,1,Plain statement about apology and meetings. No figurative language. Confidence is high.,4,0,Expresses a normative expectation to apologize for lateness. It is a social convention. Confidence is high.,4,0,Concludes an obligation from the norm that lateness is impolite. It is reasoning. Confidence is high.,4,0,"Applies general etiquette rules to a situation, beyond direct experience. Confidence is moderate.",3,It is common sense that lateness to meetings warrants an apology.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If you spread gossip about coworkers, you are harming workplace trust.",1,Gossip's harmful effect on trust is demonstrable in organizational research. It is not mere opinion. Confidence is moderate.,3,0,Gossip and workplace trust are human social constructs. Confidence is high.,4,1,Plain statement about gossip and trust. No metaphors. Confidence is high.,4,0,Involves norms against gossiping and expectations of trust. It is a social value. Confidence is high.,4,0,Infers harm to trust from gossip using social knowledge. It is a conclusion. Confidence is high.,4,0,"Assesses impact on abstract workplace trust, beyond a single interaction. Confidence is moderate.",3,It is common sense that gossip damages workplace relationships and trust.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Democracy is the best form of government.,0,"It expresses a subjective preference about governance that cannot be objectively verified, unlike a factual claim.",4,0,"Government forms are human constructs, not features of the physical world.",4,1,"It uses plain language meaning exactly what it says, with no metaphorical or figurative expression.",4,0,"It expresses a value judgment about how society should be organized, not an empirical observation.",4,1,"It states a belief about the world directly, without deriving it from combined premises or logic.",3,0,"It concerns political philosophy and systems, which cannot be directly experienced in everyday life.",4,"This reflects a widely shared view about political systems, making it common sense despite being subjective.","['opinion', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",z-ai/glm-5.3
Every citizen should have the right to vote.,0,"Whether voting is a right is a matter of moral stance, not objective demonstration.",4,0,Voting rights are socially constructed conventions of human societies.,4,1,"It is plain, direct language with no figures of speech.",4,0,"It prescribes what should be, expressing a norm about civic entitlements.",4,1,It asserts a belief directly rather than deriving a conclusion through logical steps.,3,0,Rights concepts are abstract principles not directly encountered in daily experience.,4,This is a moral principle about rights that many people hold as common sense.,"['opinion', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",z-ai/glm-5.3
Religion does more good than harm in the world.,0,The balance of good and harm from religion is inherently subjective and undemonstrable.,4,0,"Religion is a human social construct, not a natural phenomenon.",4,1,It states its meaning plainly without metaphor or hyperbole.,4,0,It is a judgment about the value of a social institution rather than a physical regularity.,3,1,"It is a direct assertion about the world, not a conclusion from combined premises.",4,0,Assessing religion's net global impact requires abstraction beyond everyday experience.,4,"People commonly hold views on religion's net effect, though it cannot be objectively settled.","['opinion', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",z-ai/glm-5.3
Monogamy is the most ethical relationship model.,0,Ethical rankings of relationship models cannot be objectively proven.,4,0,Relationship models are social conventions of human origin.,4,1,It is stated in plain literal terms.,4,0,It expresses a moral judgment about how relationships should be structured.,4,1,It asserts a belief directly rather than reasoning from multiple premises.,3,0,Comparing ethical merits of relationship models is an abstract philosophical judgment.,4,Views on relationship norms are widely shared common sense though subjective.,"['opinion', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",z-ai/glm-5.3
Corporal punishment should be banned in all schools.,0,Whether such punishment should be banned is a subjective policy stance.,4,0,Punishment practices in schools are socially constructed rules.,4,1,"It uses plain, direct wording without figurative language.",4,0,It prescribes a rule about what should be permitted in schools.,4,1,It directly states a belief without combining multiple logical premises.,3,0,"It is a general policy claim about all schools, beyond any single experience.",4,This reflects a widely held stance on child-rearing and education policy.,"['opinion', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",z-ai/glm-5.3
Artificial intelligence will never truly understand emotions.,0,Whether AI can truly understand emotions is presently undecidable and subjective.,4,0,Emotions and understanding are human-centric social concepts.,3,1,"It is plain literal language, though 'truly understand' is somewhat interpretive.",3,0,It is a judgment about the nature of understanding rather than a physical law.,3,1,"It asserts a belief directly, not a derived conclusion.",4,0,Machine understanding of emotion is an abstract philosophical issue.,4,"Many people share intuitions about machine limitations, though unverifiable.","['opinion', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",z-ai/glm-5.3
