statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
Electricity flows through conductive materials.,1,This can be demonstrated with circuits and measured independently of opinion. It is a physical fact.,4,1,This describes an electromagnetic phenomenon governed by physics. It is measurable and not socially constructed.,4,1,The language is plain and technical with no figurative meaning. Electricity literally flows through conductive materials.,4,0,"This describes a physical property of materials, not a social norm or value. Confidence is low for the normative feature.",1,0,This combines knowledge of atomic structure with electron mobility to conclude conductivity. It links material properties to electrical behavior logically.,4,0,"This generalizes about all conductive materials and electrical flow, which is invisible. It requires abstracting from physics knowledge.",4,People commonly know that metals and certain materials allow electrical current to pass.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Vacuums contain no air molecules.,1,This can be measured with pressure instruments and verified independently. It is a physical fact.,4,1,This describes a physical state of matter governed by natural laws. It is not a social construct.,4,1,The statement is plain and direct with no figurative language. Vacuums literally contain no air molecules.,4,0,"This defines a physical condition, not a value or social norm. Confidence is low for the normative feature.",1,0,This combines knowledge of air composition with the definition of vacuum. It logically concludes the absence of molecules.,4,0,A perfect vacuum cannot be directly experienced in everyday life. This requires abstract understanding of molecular absence.,4,People commonly understand that a vacuum is a space devoid of air.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Chemical reactions rearrange atomic bonds.,1,This can be demonstrated through chemistry experiments and is independent of opinion. It is a scientific fact.,4,1,This describes a chemical and physical process governed by natural laws. It is not socially constructed.,4,1,The language is plain and scientific with no metaphor. Bonds are literally rearranged in chemical reactions.,4,0,"This describes a chemical process, not a social judgment or convention. Confidence is low for the normative feature.",1,0,This combines knowledge of atomic structure with chemical transformation processes. It logically explains what happens during reactions.,4,0,Atomic bonds cannot be seen directly and this generalizes across all reactions. It requires abstract molecular understanding.,4,People commonly understand that chemistry involves atoms forming new connections.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Magnetic fields attract ferromagnetic metals.,1,This can be demonstrated with magnets and verified independently of opinion. It is a physical fact.,4,1,This describes an electromagnetic phenomenon governed by physics. It is measurable and not socially constructed.,4,1,"The statement uses plain, direct language with no figurative meaning. Magnetic fields literally attract specific metals.",4,0,"This describes a physical interaction, not a value or social norm. Confidence is low for the normative feature.",1,0,This combines knowledge of magnetism with material properties to conclude attraction occurs. It links electromagnetic theory to observable effects.,4,0,This generalizes about all magnetic interactions with ferromagnetic materials. Magnetic fields are invisible and require abstract understanding.,4,People commonly know that magnets pull on iron and similar metals.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Waves transfer energy without moving matter.,1,This can be demonstrated experimentally and verified independently of opinion. It is a physics fact.,4,1,This describes a physical phenomenon governed by wave mechanics. It is not a social construct.,4,1,The language is plain and scientific with no figurative elements. Waves literally transfer energy without net matter movement.,4,0,"This describes a physical wave property, not a social norm or judgment. Confidence is low for the normative feature.",1,0,This combines knowledge of wave mechanics with energy conservation principles. It logically distinguishes energy transfer from matter transport.,4,0,This generalizes about all wave types and requires understanding energy transfer abstractly. It goes beyond observing a single wave.,4,People commonly understand that ocean waves carry energy while water mostly stays in place.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Pressure increases with depth in fluids.,1,This can be measured with pressure gauges at various depths. It is a verifiable physical fact.,4,1,This describes a measurable physical property governed by fluid mechanics. It is not socially constructed.,4,1,The statement is plain and direct with no figurative language. Pressure literally increases as depth increases in fluids.,4,0,"This describes a physical relationship, not a value judgment or social convention. Confidence is low for the normative feature.",1,0,This combines knowledge of fluid weight with gravitational force to conclude pressure increases. It logically derives the relationship from physical principles.,4,0,This generalizes about all fluids at all depths beyond a single experience. It requires understanding pressure as an abstract concept.,3,People commonly know that diving deeper in water creates more pressure on the body.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
DNA carries genetic information in organisms.,1,This can be demonstrated through molecular biology experiments. It is a verified scientific fact independent of opinion.,4,1,This describes a biological and biochemical reality governed by natural laws. It is not a social construct.,4,1,The language is plain and scientific with no metaphor. DNA literally carries genetic information in living organisms.,4,0,"This describes a biological fact, not a social norm or value judgment. Confidence is low for the normative feature.",1,0,This combines knowledge of molecular biology with heredity to conclude DNA's role. It links structure to function logically.,4,0,DNA and genetic information are microscopic and abstract concepts not directly observable. This generalizes across all organisms.,4,People commonly understand that DNA is the molecule responsible for heredity.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
The sun produces energy through fusion.,1,This can be verified through spectroscopy and physics calculations. It is a well-established scientific fact.,4,1,This describes a nuclear and astrophysical process governed by natural laws. It is not socially constructed.,4,1,The statement is plain and scientific with no figurative language. The sun literally produces energy through nuclear fusion.,4,0,"This describes an astrophysical process, not a value or social norm. Confidence is low for the normative feature.",1,0,This combines knowledge of nuclear physics with stellar observation to conclude fusion is the energy source. It links theory to evidence.,4,0,Nuclear fusion in the sun cannot be directly observed or experienced. It requires abstract understanding of stellar physics.,4,People commonly know that the sun's energy comes from nuclear fusion reactions.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Evolution selects traits improving survival.,1,This can be demonstrated through fossil records and genetic studies. It is a verified biological fact.,4,1,This describes a biological process governed by natural laws. It is not a social construct.,4,1,The language is plain and scientific with no metaphor. Evolution literally selects traits that improve survival rates.,4,0,"This describes a biological mechanism, not a social value or norm. Confidence is low for the normative feature.",1,0,"This combines knowledge of variation, inheritance, and survival to conclude selection occurs. It logically derives the mechanism from principles.",4,0,Evolution operates over vast timescales and cannot be observed in a single lifetime. It requires abstract biological reasoning.,4,People commonly understand that natural selection favors characteristics that help organisms survive.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Absolute zero stops all molecular motion.,1,This is derived from thermodynamic laws and verified through extrapolation. It is a well-established physical fact.,4,1,This describes a thermodynamic principle governed by physics. It is not a social construct.,4,1,The statement is plain and scientific with no figurative language. Molecular motion literally ceases at absolute zero.,4,0,"This describes a thermodynamic principle, not a social norm or value judgment. Confidence is low for the normative feature.",1,0,This combines knowledge of temperature as molecular kinetic energy with the concept of zero energy. It logically concludes motion stops.,4,0,Absolute zero cannot be reached or directly experienced. This requires abstract understanding of thermodynamics and molecular behavior.,4,"People commonly understand that at the lowest temperature, particles cease moving.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Photons travel at light's constant speed.,1,This can be measured precisely and is verified independently of opinion. It is a fundamental physical fact.,4,1,This describes a fundamental physical constant governed by electromagnetic theory. It is not socially constructed.,4,1,The language is plain and scientific with no figurative meaning. Photons literally travel at a constant speed.,4,0,"This describes a physical constant, not a value or social convention. Confidence is low for the normative feature.",1,0,This combines knowledge of electromagnetic theory with the nature of photons. It logically derives the constant speed from physics principles.,4,0,The speed of light as a universal constant is an abstract concept beyond everyday experience. It requires physics knowledge.,4,"People commonly know that light particles move at a fixed, universal speed.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"A friend to all is a friend to none, so trust deeply only a few.",0,It is a subjective judgment about friendship that cannot be proven objectively true or false. It is not empirically demonstrable fact.,4,0,"It concerns beliefs about friendship and trust, which are socially constructed human judgments rather than physical facts. It is not about measurable natural rules.",4,0,"It uses the aphorism/metaphor 'friend to all, friend to none' rather than plain literal language. It is not ordinary direct description.",4,0,"It prescribes how one ought to behave regarding trust and friendship, reflecting a social value. It is not a positive empirical regularity.",4,0,"It concludes one should trust deeply only a few, derived from the premise that universal friendship dilutes loyalty. It is not merely an observation.",3,0,"It generalizes about friendship across society, beyond any single everyday encounter. It is not about a routine daily situation.",3,It captures a widely shared belief about friendship and trust that people learn through social experience.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Too many cooks spoil the broth, so committees rarely produce bold visions.",0,"The claim about committees is subjective and debatable, not empirically provable. It cannot be demonstrated objectively correct.",4,0,"It concerns social organization and collective decision-making, not physical laws. It is about human-constructed group dynamics.",4,0,'Too many cooks spoil the broth' is a well-known metaphorical proverb. It is not literal cooking advice.,4,0,It implies a judgment about how groups should or shouldn't be organized. It goes beyond describing an empirical regularity.,3,0,"It draws the conclusion that committees lack boldness from the premise about excessive contributors. It is an inference, not a mere observation.",3,0,It makes a broad generalization about organizational behavior beyond individual everyday encounters. It is not about a specific daily event.,3,It reflects a common belief about group dynamics and decision-making in society.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Power corrupts, so societies should limit any single leader's authority.",0,Whether power truly corrupts universally and how authority should be limited are subjective political judgments. They cannot be objectively proven.,4,0,"It concerns political beliefs and social governance structures, which are human constructions. It is not about physical or biological laws.",4,0,"'Power corrupts' is an aphoristic, somewhat hyperbolic generalization. It is not a literal, precise statement.",3,0,"It prescribes what societies ought to do regarding leadership, reflecting a political value. It is not merely describing an empirical fact.",4,0,It concludes societies should limit authority based on the premise that power corrupts. This is an inference combining knowledge and logic.,4,0,"It generalizes about power and governance across all societies, beyond individual experience. It is not about an everyday personal situation.",4,It expresses a widely held belief about governance and human nature in social life.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"The pen is mightier than the sword, so diplomacy should precede war.",0,Whether diplomacy truly should always precede war is a subjective value judgment. It cannot be empirically proven correct.,4,0,"It concerns human beliefs about communication, conflict, and governance. It is not about measurable physical properties.",4,0,'The pen is mightier than the sword' is a classic metaphor. It is not literally comparing writing instruments to weapons.,4,0,"It prescribes how nations ought to behave, reflecting a moral and political norm. It is not a positive empirical law.",4,0,It concludes diplomacy should precede war based on the premise about words outweighing force. This is a logical inference.,4,0,It generalizes about international relations and human conflict beyond any individual's daily experience. It is not about an everyday encounter.,4,It reflects a common belief that ideas and words are more powerful than violence in shaping society.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"A stitch in time saves nine, so early intervention prevents larger social problems.",0,Whether early intervention always prevents larger social problems is debatable and subjective. It cannot be universally proven.,3,0,It concerns social policy and human problem-solving approaches. It is not about physical or mathematical laws.,3,0,'A stitch in time saves nine' is a proverbial metaphor. It is not literally about sewing.,4,0,It implies a value judgment about how society should address problems proactively. It goes beyond describing what is.,4,0,"It concludes that early intervention prevents larger problems, inferred from the proverb's logic. It is a deduction, not mere observation.",4,0,It generalizes about social problem-solving across contexts beyond individual daily experience. It is not about a specific everyday task.,4,It captures the common-sense belief that addressing issues early prevents bigger consequences in society.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Don't judge a book by its cover, so avoid stereotyping people by appearance.",0,Whether people should never judge by appearance is a subjective moral stance. It cannot be empirically proven.,3,0,It concerns social perceptions and norms about judging others. It is not about physical properties of books or people.,4,0,'Don't judge a book by its cover' is a metaphorical idiom. It is not literally about books.,4,0,"It prescribes how one ought to treat others, reflecting a social and moral norm. It is not a positive empirical statement.",4,0,"It concludes one should avoid stereotyping, derived from the premise that appearances are misleading. This is an inference.",4,0,"It generalizes about human judgment across all social interactions, beyond specific everyday encounters. It is a broad principle.",3,It reflects a widely held social belief that outward appearances do not define a person's true character.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"The grass is always greener on the other side, so envy clouds our judgment.",0,Whether envy always clouds judgment is subjective and debatable. It cannot be objectively proven.,4,0,It concerns human emotions and social perceptions of others' lives. It is not about actual botany or physics.,4,0,'The grass is always greener' is a well-known metaphor. It is not literally about lawn color.,4,0,It implies a judgment about how people should or shouldn't feel and think. It reflects a value about contentment.,3,0,"It concludes that envy clouds judgment, inferred from the observation that people idealize others' situations. This is reasoning.",3,0,It generalizes about human psychology across all people and contexts. It is not about a specific everyday event.,4,It expresses a common belief about human dissatisfaction and the tendency to idealize others' situations.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Honesty is the best policy, so transparency should govern public institutions.",0,Whether honesty is always the best policy is debatable and subjective. It cannot be empirically proven in all cases.,3,0,It concerns social values and governance norms constructed by humans. It is not about physical or mathematical truths.,4,0,"'Honesty is the best policy' is an aphorism. It is a figurative way of expressing a principle, not a literal description.",3,0,"It prescribes how public institutions ought to operate, reflecting a moral and political norm. It is not a positive fact.",4,0,"It concludes that transparency should govern institutions, derived from the premise about honesty being optimal. This is an inference.",4,0,It generalizes about governance and ethics across all societies. It is not about a specific everyday personal interaction.,4,It reflects a common social belief that truthfulness leads to better outcomes in governance and relationships.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"You can't pour from an empty cup, so caregivers must prioritize self-care.",0,Whether caregivers must always prioritize self-care is a subjective value judgment. It cannot be objectively proven.,3,0,"It concerns social roles, caregiving norms, and human well-being. It is not about the physics of liquids.",4,0,'You can't pour from an empty cup' is a metaphor. It is not literally about cups and liquids.,4,0,"It prescribes what caregivers ought to do, reflecting a social and health-related norm. It is not a positive empirical law.",4,0,"It concludes caregivers must prioritize self-care, inferred from the premise that depleted people cannot help others. This is reasoning.",4,0,It generalizes about caregiving and well-being across all contexts. It is not about a single everyday task.,3,It captures the common belief that one must maintain their own well-being to help others effectively.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"A rising tide lifts all boats, so economic growth benefits everyone in society.",0,Whether economic growth truly benefits everyone equally is highly debatable. It cannot be objectively proven.,4,0,It concerns economic beliefs and social structures constructed by humans. It is not about ocean tides or physics.,4,0,'A rising tide lifts all boats' is a metaphor. It is not literally about water and vessels.,4,0,It implies a judgment about economic policy and what society should pursue. It reflects a value about prosperity.,3,0,"It concludes that economic growth benefits everyone, derived from the metaphorical premise. This is an inference from a general principle.",3,0,"It generalizes about economics across entire societies, beyond individual experience. It is not about a personal everyday transaction.",4,It reflects a common belief about how economic prosperity spreads through society.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Actions speak louder than words, so leaders should be judged by deeds.",0,Whether leaders should always be judged primarily by deeds is subjective. It cannot be empirically proven.,3,0,"It concerns social evaluation of people and leadership, a human-constructed concept. It is not about physical acoustics.",4,0,'Actions speak louder than words' is a metaphorical aphorism. Actions do not literally speak.,4,0,"It prescribes how society ought to evaluate leaders, reflecting a moral norm. It is not a positive empirical fact.",4,0,"It concludes leaders should be judged by deeds, inferred from the premise that actions reveal more than words. This is reasoning.",4,0,It generalizes about leadership and accountability across all societies. It is not about a specific everyday interaction.,4,It captures the common belief that behavior reveals true intentions more than statements do.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"It takes a village to raise a child, so parenting is a communal responsibility.",0,Whether parenting should be a communal responsibility is a subjective cultural judgment. It cannot be objectively proven.,4,0,It concerns social norms about child-rearing and community roles. It is not about physical or biological processes.,4,0,'It takes a village' is a metaphorical expression. It is not literally about a geographic village.,4,0,"It prescribes how society ought to approach child-rearing, reflecting a social norm. It is not a positive empirical observation.",4,0,"It concludes parenting is communal, derived from the premise that a whole community is needed. This is an inference.",4,0,It generalizes about child-rearing across all cultures and societies. It is not about a specific everyday parenting moment.,4,"It reflects a common belief that raising children is a shared social endeavor, not solely individual.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"The early bird catches the worm, so diligence should be rewarded in society.",0,Whether diligence should always be socially rewarded is subjective and debatable. It cannot be objectively proven.,3,0,It concerns social values about work ethic and reward systems. It is not about actual bird behavior or biology.,4,0,'The early bird catches the worm' is a proverbial metaphor. It is not literally about ornithology.,4,0,"It prescribes how society ought to treat hardworking people, reflecting a value judgment. It is not a positive empirical law.",4,0,"It concludes society should reward diligence, inferred from the premise that initiative leads to success. This is reasoning.",3,0,It generalizes about work ethic and social reward across all contexts. It is not about a specific everyday task.,4,It reflects a common belief that hard work and initiative lead to success and deserve recognition.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"You reap what you sow, so justice demands accountability for harmful actions.",0,What constitutes just accountability is subjective and culturally variable. It cannot be objectively proven.,3,0,"It concerns social justice and moral accountability, which are human-constructed concepts. It is not about agriculture or physics.",4,0,'You reap what you sow' is a metaphorical proverb. It is not literally about farming.,4,0,"It prescribes how justice systems ought to operate, reflecting a moral norm. It is not a positive empirical statement.",4,0,"It concludes justice demands accountability, derived from the premise of proportional consequences. This is a logical inference.",4,0,It generalizes about justice and morality across all societies. It is not about a specific everyday consequence.,4,It captures the common belief that people should face consequences proportional to their actions.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"The customer is always right, so businesses should prioritize consumer satisfaction.",0,Whether customers are always right and should always be prioritized is debatable. It cannot be objectively proven.,4,0,It concerns commercial norms and social expectations in business. It is not about physical or mathematical truths.,4,0,'The customer is always right' is a hyperbolic aphorism. It is not literally true in every case.,3,0,"It prescribes how businesses ought to treat customers, reflecting a commercial norm. It is not a positive empirical fact.",4,0,"It concludes businesses should prioritize satisfaction, inferred from the premise about customer primacy. This is reasoning.",3,0,It generalizes about all business-consumer relationships across society. It is not about a single everyday shopping trip.,3,It reflects a common social belief about the relationship between businesses and their customers.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Knowledge is power, so education should be universally accessible.",0,Whether education should be universally accessible is a political and moral judgment. It cannot be empirically proven.,4,0,It concerns social values about education and empowerment. It is not about physical properties of knowledge.,4,0,'Knowledge is power' is an aphoristic metaphor. Knowledge is not literally physical power.,4,0,"It prescribes what society ought to provide regarding education, reflecting a social norm. It is not a positive empirical law.",4,0,"It concludes education should be universally accessible, derived from the premise that knowledge empowers. This is an inference.",4,0,It generalizes about education policy across all societies. It is not about a specific everyday learning moment.,4,It reflects a common belief that learning empowers individuals and that society should enable this.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Beauty is in the eye of the beholder, so aesthetic standards are culturally constructed.",0,Whether beauty is entirely subjective is debatable. It cannot be objectively proven one way or another.,4,0,It concerns social perceptions of beauty and cultural norms. It is not about measurable physical properties.,4,0,'Beauty is in the eye of the beholder' is a metaphorical idiom. It is not literally about eyes.,4,0,It implies a judgment about how we should understand and respect diverse aesthetic standards. It is not a positive fact.,3,0,"It concludes aesthetic standards are culturally constructed, inferred from the premise of subjective perception. This is reasoning.",4,0,It generalizes about aesthetics across all cultures and history. It is not about judging one specific everyday object.,4,It captures the common belief that attractiveness is subjective and varies across cultures.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"The road to hell is paved with good intentions, so policy must be judged by outcomes.",0,Whether outcomes are the sole valid measure of policy is subjective. It cannot be objectively proven.,3,0,It concerns social evaluation of policy and human motivation. It is not about actual roads or theology.,4,0,'The road to hell is paved with good intentions' is a metaphorical proverb. It is not literally about paving.,4,0,"It prescribes how society ought to evaluate policies, reflecting a political norm. It is not a positive empirical statement.",4,0,"It concludes policy should be judged by outcomes, derived from the premise about insufficient intentions. This is reasoning.",4,0,It generalizes about governance and ethics across all societies. It is not about a specific everyday decision.,4,It reflects a common belief that good intentions alone are insufficient and results matter in governance.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
"Birds of a feather flock together, so social bubbles reinforce shared prejudices.",0,Whether social bubbles always reinforce prejudice is debatable. It cannot be objectively proven in all cases.,3,0,It concerns social group dynamics and belief formation. It is not about actual bird behavior or biology.,4,0,'Birds of a feather flock together' is a metaphorical proverb. It is not literally about ornithology.,4,0,"It implies a judgment about the dangers of social homogeneity, reflecting a value about diversity. It is not a positive fact.",3,0,"It concludes social bubbles reinforce prejudices, inferred from the premise about like-minded clustering. This is reasoning.",3,0,It generalizes about social dynamics across all groups and societies. It is not about a single everyday social encounter.,4,"It captures the common belief that like-minded people cluster together, potentially amplifying biases.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
