statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
Juries that convict therefore impose legally prescribed sentences.,1,I am somewhat confident prescribed sentences are verifiable in criminal codes. They are not opinion.,3,0,I am very confident juries are socially constructed human practices. They are not physical.,4,1,I am very confident it is plain literal description. It uses no figure of speech.,4,0,I am very confident impose sentences expresses a justice norm. It is not a positive natural law.,4,0,I am somewhat confident therefore links conviction to sentence by logic. It is not isolated knowledge.,3,0,I am very confident jury sentencing is an abstract legal procedure. It is not everyday personal experience.,4,Common sense links conviction by jury to sentencing.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore copyrighted books cannot be legally copied freely.,1,I am somewhat confident copyright prohibition is factually checkable in law. It is not opinion.,3,0,I am very confident copyright is a human social creation. It is not physical law.,4,1,I am very confident the statement is literal and direct. It has no metaphor.,4,0,I am very confident cannot be legally copied states a prohibitive norm. It is not positive physics.,4,0,I am somewhat confident therefore derives prohibition from copyright knowledge logically. It is not mere fact.,3,0,I am very confident copyright is an abstract intangible legal concept. It is not everyday physical observation.,4,People commonly know copying copyrighted books is prohibited.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Tenants who sign leases therefore owe monthly rent.,1,I am somewhat confident rent duty is demonstrable in lease documents objectively. It is not opinion.,3,0,I am very confident leases are human social rules for housing. They are not physical.,4,1,I am very confident wording is plain literal English. It has no hyperbole.,4,0,I am very confident owe rent expresses a contractual norm and duty. It is not positive science.,4,0,I am somewhat confident therefore infers payment from signing by logic. It is not just knowledge.,3,0,I am somewhat confident lease obligation generalizes beyond one rent payment. It is not only everyday experience.,3,Renters commonly understand leases require monthly rent.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore passports are legally required for international travel.,1,I am somewhat confident passport requirement is objectively verifiable in regulations. It is not opinion.,3,0,I am very confident passports and borders are human social constructs. They are not physical.,4,1,I am very confident it is literal plain language. It contains no metaphor.,4,0,I am very confident legally required expresses a travel norm and rule. It is not positive natural fact.,4,0,I am somewhat confident therefore concludes requirement from travel knowledge and logic. It is not mere observation.,3,0,I am very confident international travel law is abstract systemic knowledge. It is not single everyday experience.,4,Travelers share common sense that passports are needed abroad.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Doctors therefore need licenses to practice medicine legally.,1,I am somewhat confident licensing can be verified in official registries factually. It is not opinion.,3,0,I am very confident medical licensing is a human social regulation. It is not physical law.,4,1,I am very confident the sentence means exactly what it says. It has no figure of speech.,4,0,I am very confident need licenses expresses a safety norm and duty. It is not positive physics.,4,0,I am somewhat confident therefore infers need from medical practice knowledge logically. It is not bare fact.,3,0,I am very confident medical licensing is an abstract professional system. It is not everyday observation.,4,Everyone knows doctors must be licensed to practice.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore wills must be witnessed to be legally valid.,1,I am somewhat confident witness rules are checkable in probate law objectively. They are not opinion.,3,0,I am very confident wills are socially created human practices. They are not physical.,4,1,I am very confident language is plain and literal. It has no aphorism.,4,0,I am very confident must be witnessed states a procedural norm. It is not positive natural regularity.,4,0,I am somewhat confident therefore concludes validity from witnessing logic and knowledge. It is not simple observation.,3,0,I am very confident validity of wills is an abstract legal concept. It is not everyday physical seeing.,4,Common sense says wills need witnesses to count.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Pedestrians therefore have legal priority at marked crosswalks.,1,I am somewhat confident priority can be verified in traffic codes factually. It is not opinion.,3,0,I am very confident crosswalks are human social traffic conventions. They are not physical laws.,4,1,I am very confident wording is literal and ordinary. It uses no metaphor.,4,0,I am very confident have legal priority expresses a protective social norm. It is not positive physics.,4,0,I am somewhat confident therefore derives priority from pedestrian law and logic. It is not mere knowledge.,3,0,I am somewhat confident crosswalk priority is abstract traffic system knowledge. It is more than one crossing.,3,Pedestrians commonly know crosswalks give them priority.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore businesses must follow legal safety standards.,1,I am somewhat confident standards are demonstrable in safety regulations objectively. They are not opinion.,3,0,I am very confident business safety is a human social rule. It is not physical law.,4,1,I am very confident it is plain literal language. It has no hyperbole.,4,0,I am very confident must follow expresses a moral and legal norm. It is not positive description.,4,0,I am somewhat confident therefore concludes duty from business knowledge and logic. It is not mere observation.,3,0,I am very confident safety standards are abstract regulatory generalizations. They exceed individual experience.,4,Common sense expects businesses to keep workplaces safe.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Citizens who commit murder therefore face life imprisonment.,1,I am somewhat confident punishment is verifiable in criminal law independently. It is not opinion.,3,0,I am very confident murder law is a human social construction. It is not physical.,4,1,I am very confident wording is direct and literal. It contains no metaphor.,4,0,I am very confident face imprisonment reflects a retributive social norm. It is not positive physics.,4,0,I am somewhat confident therefore infers punishment from crime knowledge logically. It is not bare fact.,3,0,I am very confident life imprisonment is an abstract justice system outcome. It is not everyday experience.,4,Most people know murder leads to severe imprisonment.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore seven days legally constitute one calendar week.,1,I am somewhat confident seven-day week is demonstrable in calendars independently of opinion. It is not subjective.,3,0,I am very confident weeks are human social constructions for time. They are not physical.,4,1,I am very confident it uses plain literal terms. It has no figure of speech.,4,0,I am somewhat confident legally constitute states an agreed conventional norm. It is not a positive natural law.,3,0,I am somewhat confident therefore concludes week definition from calendar knowledge logically. It is not mere observation.,3,0,I am very confident calendar week is an abstract conventional system. It cannot come from personal experience alone.,4,Everyone commonly uses a seven-day week as calendar sense.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Birds of a feather flock together, so friends share values.",0,"I am very confident similarity of friends cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about human friendships not physics, so social not physical.",4,0,"I am very confident birds feather flock is a classic idiom metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes what happens in friendships, not what should happen, so positive not normative.",3,0,"I am somewhat confident the so-clause infers a conclusion from the premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident it generalizes about groups beyond single daily encounters, so abstract not everyday.",3,This proverb reflects widely shared folk wisdom about friendship used without proof.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Blood is thicker than water, so family sticks together.",0,"I am very confident family closeness strength cannot be objectively measured, so opinion not fact.",4,0,"I am very confident it concerns family bonds not natural laws, so social not physical.",4,0,"I am very confident blood thicker than water is metaphorical, so figure of speech not literal.",4,1,"I am somewhat confident it describes family sticking together, not prescribing duty, so positive not normative.",3,0,"I am somewhat confident it concludes family sticks together from the blood premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident it states a general kinship regularity beyond individual experience, so abstract not everyday.",3,This saying captures common folk belief that family loyalty is strongest.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Love is blind, so lovers overlook flaws.",0,"I am very confident lover blindness cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about romantic perception not physics, so social not physical.",4,0,"I am very confident love is blind is metaphor hyperbole, so figure of speech not literal.",4,1,"I am somewhat confident it describes lovers overlooking flaws, not saying they should, so positive not normative.",3,0,"I am somewhat confident it infers lovers overlook flaws from blindness premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident it generalizes about love beyond one observable case, so abstract not everyday.",3,This reflects common wisdom that people in love ignore faults.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Time heals all wounds, so heartbreak fades eventually.",0,"I am very confident universal healing cannot be objectively demonstrated, so opinion not fact.",4,0,"I am very confident it concerns human grief not physical law, so social not physical.",4,0,"I am very confident time heals wounds is metaphor personification, so figure of speech not literal.",4,1,"I am somewhat confident it describes heartbreak fading, not prescribing values, so positive not normative.",3,0,"I am somewhat confident it concludes heartbreak fades from healing premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident healing over long periods exceeds single observation, so abstract not everyday.",3,This expresses familiar belief that emotional pain fades with time.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Absolute power corrupts absolutely, so leaders lose morals.",0,"I am very confident moral corruption by power cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about political authority not physics, so social not physical.",4,0,"I am very confident absolute corruption is hyperbolic aphorism, so figure of speech not literal.",4,1,"I am somewhat confident it describes leaders losing morals, not judging they should not, so positive not normative.",3,0,"I am somewhat confident it infers leaders lose morals from power premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident corruption by power is a broad historical generalization, so abstract not everyday.",3,This reflects common cynical wisdom about leaders and power.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Money talks, so the rich get heard.",0,"I am very confident being heard due to wealth cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about wealth status not physics, so social not physical.",4,0,"I am very confident money talks is personification metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes rich being heard, not saying it should be, so positive not normative.",3,0,"I am somewhat confident it concludes rich get heard from money-talks premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident influence of wealth is a societal generalization, so abstract not everyday.",3,This captures popular belief that wealth brings social voice.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Like father, like son, so children mirror parents.",0,"I am very confident children mirroring parents cannot be universally proven, so opinion not fact.",4,0,"I am very confident it is about family social identity not biology alone, so social not physical.",4,0,"I am very confident like father like son is idiomatic analogy, so figure of speech not literal.",4,1,"I am somewhat confident it describes children resembling parents, not prescribing behavior, so positive not normative.",3,0,"I am somewhat confident it infers children mirror parents from likeness premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident mirroring across generations is a general pattern, so abstract not everyday.",3,This reflects everyday folk wisdom about parental resemblance.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"History repeats itself, so societies repeat mistakes.",0,"I am very confident repetition of mistakes cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about collective human behavior not physics, so social not physical.",4,0,"I am very confident history repeats is metaphorical personification, so figure of speech not literal.",4,1,"I am somewhat confident it describes societies repeating mistakes, not valuing what ought to be, so positive not normative.",3,0,"I am somewhat confident it concludes societies repeat mistakes from repetition premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident societal repetition spans history beyond personal experience, so abstract not everyday.",3,This expresses common belief that societies fail to learn lessons.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Out of sight, out of mind, so distance kills affection.",0,"I am very confident distance effects cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about human affection not physics, so social not physical.",4,0,"I am very confident out of sight out of mind is hyperbolic idiom, so figure of speech not literal.",4,1,"I am somewhat confident it describes distance effects, not prescribing closeness, so positive not normative.",3,0,"I am somewhat confident it infers distance kills affection from absence premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident distance killing affection generalizes beyond one encounter, so abstract not everyday.",3,This reflects folk wisdom that separation weakens relationships.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Absence makes the heart grow fonder, so separation deepens love.",0,"I am very confident deepening love by separation cannot be proven, so opinion not fact.",4,0,"I am very confident it is about romantic feelings not physics, so social not physical.",4,0,"I am very confident heart growing fonder is metaphor hyperbole, so figure of speech not literal.",4,1,"I am somewhat confident it describes separation deepening love, not prescribing values, so positive not normative.",3,0,"I am somewhat confident it concludes separation deepens love from absence premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident love growing with absence is unobservable generalization, so abstract not everyday.",3,This captures romantic belief that longing grows with separation.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Familiarity breeds contempt, so closeness sparks irritation.",0,"I am very confident universal irritation cannot be objectively demonstrated, so opinion not fact.",4,0,"I am very confident it is about interpersonal attitudes not physics, so social not physical.",4,0,"I am very confident breeds contempt is metaphorical aphorism, so figure of speech not literal.",4,1,"I am somewhat confident it describes closeness sparking irritation, not judging it bad, so positive not normative.",3,0,"I am somewhat confident it infers closeness sparks irritation from familiarity premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident contempt from familiarity is broad social pattern, so abstract not everyday.",3,This reflects common observation that proximity breeds annoyance.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Actions speak louder than words, so deeds reveal character.",0,"I am very confident deeds revealing character cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about judging people socially not physics, so social not physical.",4,0,"I am very confident speaking louder is metaphor hyperbole, so figure of speech not literal.",4,1,"I am somewhat confident it describes deeds revealing character, not prescribing morality, so positive not normative.",3,0,"I am somewhat confident it concludes deeds reveal character from actions premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident character from deeds is general social inference, so abstract not everyday.",3,This expresses shared belief that behavior reveals true character.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"The apple never falls far, so kids resemble parents.",0,"I am very confident universal resemblance cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about family social identity not pure biology, so social not physical.",4,0,"I am very confident apple never falls far is classic metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes kids resembling parents, not prescribing values, so positive not normative.",3,0,"I am somewhat confident it infers kids resemble parents from apple premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident intergenerational resemblance is broad generalization, so abstract not everyday.",3,This reflects folk belief that children resemble their parents.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Walls have ears, so secrets spread quickly.",0,"I am very confident quick spread of secrets cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about gossip privacy norms not physics, so social not physical.",4,0,"I am very confident walls have ears is personification metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes secrets spreading, not saying keep quiet, so positive not normative.",3,0,"I am somewhat confident it concludes secrets spread from ears premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident secret spreading is a social regularity beyond one case, so abstract not everyday.",3,This captures common warning that private talk is overheard.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Laughter is the best medicine, so humor heals souls.",0,"I am very confident humor healing souls cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about human wellbeing practices not physics, so social not physical.",4,0,"I am very confident best medicine is metaphor hyperbole, so figure of speech not literal.",4,1,"I am somewhat confident it describes humor healing, not prescribing you must laugh, so positive not normative.",3,0,"I am somewhat confident it infers humor heals from medicine premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident healing by humor generalizes beyond direct observation, so abstract not everyday.",3,This reflects popular belief in humor as healing.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Time is money, so wasting time loses wealth.",0,"I am very confident wasting time equals losing wealth cannot be proven, so opinion not fact.",4,0,"I am very confident it is about economic social values not physics, so social not physical.",4,0,"I am very confident time is money is classic metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes losing wealth by idleness, not moralizing ought, so positive not normative.",3,0,"I am somewhat confident it concludes wasting loses wealth from time-money premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident time as wealth is constructed economic idea, so abstract not everyday.",3,This expresses familiar work belief equating time with value.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Knowledge is power, so learning brings influence.",0,"I am very confident influence from learning cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about socially constructed influence not physics, so social not physical.",4,0,"I am very confident knowledge is power is metaphorical aphorism, so figure of speech not literal.",4,1,"I am somewhat confident it describes learning bringing influence, not valuing what should be, so positive not normative.",3,0,"I am somewhat confident it infers learning brings influence from knowledge premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident learning bringing influence is broad societal claim, so abstract not everyday.",3,This reflects shared belief that education brings social status.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Loose lips sink ships, so gossip destroys trust.",0,"I am very confident gossip destroying trust cannot be strictly proven, so opinion not fact.",4,0,"I am very confident it is about communication trust not physics, so social not physical.",4,0,"I am very confident lips sink ships is hyperbolic metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes gossip effects, not commanding silence, so positive not normative.",3,0,"I am somewhat confident it concludes gossip destroys trust from lips premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident gossip destroying trust generalizes across communities, so abstract not everyday.",3,This reflects wartime folk wisdom about gossip causing harm.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Love conquers all, so devotion overcomes obstacles.",0,"I am very confident devotion overcoming all cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about human romance not physics, so social not physical.",4,0,"I am very confident love conquers all is hyperbolic metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes devotion overcoming obstacles, not prescribing love, so positive not normative.",3,0,"I am somewhat confident it infers devotion overcomes obstacles from conquest premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident conquering all is universal claim beyond experience, so abstract not everyday.",3,This expresses romantic ideal that devotion overcomes difficulty.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Silence is golden, so quiet keeps peace.",0,"I am very confident peace from quiet cannot be objectively proven, so opinion not fact.",4,0,"I am very confident it is about social harmony not physics, so social not physical.",4,0,"I am very confident silence is golden is classic metaphor, so figure of speech not literal.",4,1,"I am somewhat confident it describes quiet keeping peace, not ordering silence, so positive not normative.",3,0,"I am somewhat confident it concludes quiet keeps peace from golden premise, so reasoning not mere knowledge.",3,0,"I am somewhat confident quiet keeping peace is broad social pattern, so abstract not everyday.",3,This reflects shared wisdom valuing quiet for harmony.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",meta/muse-spark-1.3
"A healthy body is a temple, so honor it daily.",0,"Its claim about honor cannot be objectively proven true or false. I am somewhat confident (3) because it is subjective value, not demonstrable fact.",3,1,"It grounds the metaphor in the objective biology of the human body. I am somewhat unconfident (2) because the moral is social, though the vehicle is physical and measurable.",2,0,"It uses the metaphor body as temple, not literal architecture. I am very confident (4) because it is figurative, not plain literal language.",4,0,"It prescribes honoring your body as a value judgment. I am very confident (4) because it tells what to do, not a positive empirical description.",4,0,"It infers honor it daily from the temple premise using so. I am somewhat confident (3) because it combines knowledge with logic, not mere observation.",3,0,It claims a general regularity about honoring the body beyond one observation. I am somewhat confident (3) since it abstracts beyond experience rather than describing an everyday encounter.,3,It expresses widely shared proverb wisdom about health that most people recognize.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Strong roots weather storms, so raise children tough.",0,"Tough upbringing being good cannot be objectively proven. I am somewhat confident (3) because it is subjective belief, not demonstrable fact.",3,1,"It grounds the metaphor in botany of roots weathering storms. I am somewhat unconfident (2) because the lesson is social, though the vehicle is physical.",2,0,"It uses roots and storms as metaphor for children and hardship. I am very confident (4) because it is figurative, not plain literal language.",4,0,"It prescribes raising children tough as a value judgment. I am very confident (4) because it states what parents should do, not a positive description.",4,0,"It draws the conclusion to raise tough from botanical premise. I am somewhat confident (3) because it uses logic to infer, not mere knowledge.",3,0,It states a general developmental regularity beyond single experience. I am somewhat confident (3) since it generalizes abstractly rather than describing routine everyday events.,3,It reflects common parental wisdom that hardship builds strength.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
"Still waters run deep, so respect quiet strength in people.",0,"Quiet strength deserving respect cannot be objectively proven. I am somewhat confident (3) because it is subjective evaluation, not demonstrable fact.",3,1,"It grounds the image in hydrology of still deep water. I am somewhat unconfident (2) because the claim is social, though the vehicle is physical.",2,0,"It uses still waters run deep as metaphor for personality. I am very confident (4) because it is aphoristic and figurative, not literal language.",4,0,"It prescribes respecting quiet strength as a social norm. I am somewhat confident (3) because it conveys a value judgment, not a positive fact.",3,0,"It infers respect quiet people from the water premise. I am somewhat confident (3) because it combines knowledge with logic, not mere observation.",3,0,It claims a general human regularity not verifiable by one encounter. I am somewhat confident (3) since it abstracts beyond experience rather than reporting everyday observation.,3,It captures common intuition that quiet people have inner depth.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
