statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Since public debate needs bridges, opponents should seek understanding rather than humiliation.",0,"Preferring understanding over humiliation is clearly an evaluative stance, not an objectively provable fact.",4,0,"Debate, understanding, and humiliation clearly involve human communication and social expectations rather than physical processes.",4,0,Bridges clearly represent communication across disagreement rather than literal structures.,4,0,It explicitly recommends how opponents should engage rather than reporting how debates unfold.,4,0,It clearly derives a conversational obligation from the premise that public debate requires connection.,4,0,"I am somewhat confident because it addresses public discourse generally, although its advice also fits everyday disagreements.",3,It reflects the familiar idea that understanding disagreement is more constructive than shaming opponents.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because peace requires mending fences, nations should favor dialogue over wounded pride.",0,"Prioritizing dialogue over national pride is clearly a political value judgment, not an established fact.",4,0,"Diplomacy, national pride, and reconciliation clearly concern human political relationships rather than natural laws.",4,0,Mending fences and wounded pride clearly describe relational repair and offense rather than literal repairs or injuries.,4,0,It explicitly recommends a diplomatic priority rather than predicting nations' behavior.,4,0,It clearly reasons that reconciliation's importance to peace supports choosing dialogue over resentment.,4,0,It clearly generalizes about relations among nations rather than an individual's everyday quarrel.,4,It extends the familiar wisdom of repairing relationships instead of prolonging quarrels to international relations.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since equal dignity admits no ladders, social rank should not determine basic rights.",0,"Equal entitlement to basic rights is clearly an ethical commitment, not an empirically demonstrable fact.",4,0,"Dignity, rank, and rights clearly arise within human moral and social systems rather than physical hierarchies.",4,0,Ladders clearly symbolize rankings of human worth rather than literal climbing equipment.,4,0,It explicitly forbids a basis for allocating rights rather than describing existing legal systems.,4,0,It clearly deduces rank-independent rights from the premise of equal human dignity.,4,0,It clearly addresses the general foundations of rights rather than one observable instance of unequal treatment.,4,It expresses the familiar fairness intuition that high status does not make someone more fundamentally deserving.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because tradition is a guide, not a jailer, societies should permit thoughtful reform.",0,"Assigning tradition an advisory rather than binding role is clearly subjective, not an objectively settled fact.",4,0,Tradition and reform clearly concern human customs and collective choices rather than physical laws.,4,0,Guide and jailer clearly personify tradition's contrasting roles rather than identify literal people.,4,0,It explicitly endorses allowing reform rather than stating how frequently reform occurs.,4,0,It clearly infers permission for reform from the premise that tradition should not impose absolute constraints.,4,0,It clearly proposes a general relationship between inherited culture and social change rather than discussing one custom.,4,It reflects the familiar judgment that respecting inherited practices need not mean preserving every practice unchanged.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since compassion should cross borders, birthplace should not decide whose suffering matters.",0,"Giving suffering equal moral consideration across nationalities is clearly a value judgment, not a measurable fact.",4,0,National belonging and moral concern clearly involve human classifications and values rather than geography alone.,4,0,Compassion crossing borders clearly depicts concern as a traveler rather than a literal moving entity.,4,0,It explicitly prescribes the scope of moral concern rather than describing people's actual sympathies.,4,0,It clearly derives birthplace-independent concern from the premise that compassion should extend beyond national boundaries.,4,0,It clearly articulates a transnational moral principle rather than describing an individual encounter with suffering.,4,It applies the familiar intuition that another person's pain matters even when they belong to a different group.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because punishment cannot turn back clocks, justice should also make room for rehabilitation.",0,"Including rehabilitation among justice's goals is clearly an ethical position, not an objectively provable conclusion.",4,0,"Punishment, justice, and rehabilitation clearly concern human institutions and purposes rather than time's physical properties.",4,0,Turning back clocks clearly means undoing the past rather than physically adjusting clock hands.,4,0,It explicitly recommends a purpose for justice rather than reporting rehabilitation outcomes.,4,0,"It plausibly infers a forward-looking goal from punishment's inability to undo harm, with future improvement implicitly valued.",3,0,It clearly addresses the philosophy of punishment rather than a particular everyday consequence.,4,It reflects the practical intuition that responding to wrongdoing should include improving what happens next.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since conscience cannot wear a uniform, societies should protect religious and nonreligious convictions.",0,"Protecting diverse convictions is clearly a moral and political preference, not an empirical fact.",4,0,"Conscience, religious identity, and belief protections clearly concern human meanings and social arrangements rather than natural laws.",4,0,Conscience wearing a uniform clearly symbolizes imposed conformity rather than literal clothing.,4,0,It explicitly advocates protection of convictions rather than describing existing religious practices.,4,0,"It plausibly infers protection for differing convictions from conscience's resistance to uniformity, with respect for conscience implicit.",3,0,It clearly proposes a general principle of freedom of conscience rather than describing someone's personal belief.,4,It expresses the familiar recognition that sincere beliefs differ and should not simply be forced into conformity.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because shared prosperity needs strong roots, communities should invest beyond the next election.",0,"Prioritizing long-term communal investment is clearly a political judgment, even though investment outcomes can be measured.",4,0,"Shared prosperity, elections, and public investment clearly concern human economic and political arrangements rather than biological growth.",4,0,Strong roots clearly compare prosperity to a growing plant rather than describe literal root systems.,4,0,It explicitly recommends a planning horizon rather than stating an observed investment pattern.,4,0,It clearly infers the need for long-term investment from prosperity's assumed dependence on durable foundations.,4,0,It clearly concerns collective prosperity across political cycles rather than an individual's everyday budgeting.,4,It applies the familiar wisdom of planning ahead instead of sacrificing lasting benefits for immediate rewards.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since news shapes society’s compass, journalism should prize accuracy over applause.",0,"Ranking accuracy above popularity is clearly a professional value judgment, not itself an objectively verifiable report.",4,0,"Journalism, public understanding, and professional priorities clearly concern human communication rather than physical navigation.",4,0,"Society's compass clearly symbolizes collective understanding, while applause represents approval rather than necessarily literal clapping.",4,0,It explicitly prescribes journalism's priorities rather than describing journalists' actual incentives.,4,0,It clearly derives a duty of accuracy from journalism's assumed influence on public orientation.,4,0,It clearly addresses journalism's society-wide responsibility rather than evaluating a single everyday news item.,4,It expresses the familiar expectation that those informing others should prefer getting things right to gaining approval.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because no generation owns wisdom’s crown, progress should welcome both experience and fresh perspectives.",0,Welcoming different generations as contributors is clearly an evaluative ideal rather than an objectively provable fact.,4,0,"Generational authority, wisdom, and inclusion clearly concern human evaluations and relationships rather than biological age alone.",4,0,Wisdom's crown clearly symbolizes supreme intellectual authority rather than a literal royal possession.,4,0,It explicitly recommends openness to different perspectives rather than reporting how progress actually occurs.,4,0,It clearly infers inclusive participation from the premise that no generation has exclusive authority over wisdom.,4,0,"I am somewhat confident because it proposes a broad principle of social progress, although everyday cooperation can illustrate it.",3,It reflects the familiar recognition that older and younger people can each contribute useful insights.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Power fears scrutiny, so secrecy becomes its shield.",0,Somewhat opinion-like because attributing fear to power is interpretive rather than a precisely verifiable fact. Particular claims about concealment remain testable.,3,0,"Clearly social because authority, accountability, and concealment concern human relationships rather than physical laws.",4,0,"Clearly figurative: power is personified, and secrecy is a protective shield rather than literal armor.",4,1,Clearly descriptive rather than normative: it proposes why authorities conceal information without saying they should.,4,0,Clearly inferential: anticipated threats from scrutiny explain the conclusion that secrecy protects authority.,4,0,"Likely abstract because it generalizes about political power across institutions, beyond any individual's encounters.",3,It extends the familiar idea that people conceal information when exposure threatens their position.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Democracy contains competing voices, so compromise is its glue.",0,"Somewhat opinion-like because identifying democracy's essential glue is an interpretive judgment, not a uniquely demonstrable fact.",3,0,"Clearly social because democracy and compromise arise from human institutions and preferences, not natural laws.",4,0,"Clearly figurative: compromise is called glue because it holds groups together, not because it is adhesive.",4,1,Clearly descriptive: it attributes a stabilizing function to compromise rather than commanding people to compromise.,4,0,"Clearly inferential: competing interests create a coordination problem, from which compromise's stabilizing role is concluded.",4,0,"Likely abstract because it interprets the functioning of an entire political system, not merely an everyday disagreement.",3,It applies the familiar understanding that accommodating differences helps groups remain together.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Markets run on confidence, so panic can seize the steering wheel.",0,"Only weakly opinion-like because the metaphor permits subjective interpretation, but panic's market effects can be investigated empirically.",2,0,"Clearly social because confidence and market decisions arise from shared expectations, not purely physical processes.",4,0,"Clearly figurative: markets are vehicles and panic is a driver, rather than either being literally so.",4,1,Clearly descriptive rather than prescriptive: it proposes how markets behave without recommending that behavior.,4,0,Clearly inferential: markets' dependence on confidence supplies a reason that widespread panic can redirect them.,4,0,Likely abstract because it concerns market-wide behavior beyond what one participant directly experiences.,3,It reflects the familiar idea that collective fear can overpower otherwise careful economic decisions.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
Justice loses credibility when wealth puts a thumb on its scales.,0,Somewhat opinion-like because what constitutes distorted justice involves interpretation rather than one uncontested factual standard.,3,0,"Clearly social because legal credibility and perceived fairness depend on human institutions and beliefs, not physical laws.",4,0,Clearly figurative: a thumb on justice's scales represents biased influence rather than an actual weighing procedure.,4,1,Likely descriptive because it predicts a loss of credibility rather than explicitly condemning unequal influence. The justice metaphor nevertheless carries evaluative overtones.,3,0,"Likely inferential because it connects wealth-based favoritism with reduced legitimacy, although the premise that credibility requires impartiality remains implicit.",3,0,"Likely abstract because it links systemic economic influence to institutional legitimacy, rather than describing one personal dispute.",3,It reflects the familiar expectation that perceived favoritism undermines confidence in fair treatment.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Education spreads opportunity, so it can loosen inherited privilege's grip.",0,"Only weakly opinion-like because the framing is interpretive, but education's effects on inherited advantage are empirically investigable.",2,0,"Clearly social because education, opportunity, and inherited status concern human arrangements rather than physical regularities.",4,0,"Clearly figurative: inherited privilege has a grip metaphorically, not literal hands.",4,1,Clearly descriptive: it proposes a possible social effect of education rather than asserting a duty to provide it.,4,0,Clearly inferential: broader opportunity is presented as the mechanism through which education can weaken inherited advantage.,4,0,Likely abstract because it addresses intergenerational social mobility rather than an individual's ordinary learning experience.,3,It draws on the familiar belief that learning can help people overcome disadvantages associated with birth.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Censorship blocks correction, so public errors can grow roots.",0,"Only weakly opinion-like because the scope is debatable, but censorship's effects on error correction can be assessed factually.",2,0,"Clearly social because censorship and public disagreement depend on human authority and communication, not physical laws.",4,0,"Clearly figurative: errors growing roots means becoming entrenched, not developing plant structures.",4,1,Clearly descriptive because it proposes a consequence of censorship rather than stating that censorship ought to be prohibited.,4,0,Clearly inferential: suppressing correction is offered as the reason public mistakes can persist.,4,0,Likely abstract because it generalizes about public information systems rather than a single everyday correction.,3,It extends the familiar understanding that mistakes persist when people cannot challenge them.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Inequality separates lives, so shared identity struggles to build bridges.",0,Somewhat opinion-like because the strength of society's shared identity is interpretive rather than reducible to one definitive factual measure.,3,0,Clearly social because inequality and collective belonging concern social organization and perceptions rather than natural laws.,4,0,"Clearly figurative: shared identity builds bridges metaphorically by connecting groups, not through construction.",4,1,Clearly descriptive rather than normative: it proposes a social consequence of inequality without prescribing an economic arrangement.,4,0,Clearly inferential: separated life circumstances are presented as an obstacle to shared identification.,4,0,"Likely abstract because it connects society-wide inequality with collective identity, beyond an individual's encounters.",3,It reflects the familiar idea that people with very different circumstances may find mutual identification harder.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Propaganda rewards repetition, so familiar stories can drown out unwelcome truths.",0,"Only weakly opinion-like because the metaphor is interpretive, but repetition's persuasive effects can be experimentally tested.",2,0,"Clearly social because propaganda operates through human communication and belief, rather than physical laws alone.",4,0,"Clearly figurative: stories drown out truths through attention and influence, not literal submersion.",4,1,Clearly descriptive: it suggests how propaganda succeeds rather than endorsing propaganda or instructing its use.,4,0,Clearly inferential: repetition's persuasive advantage supplies the reason familiar narratives can overshadow corrections.,4,0,Likely abstract because it concerns population-level persuasion rather than one person's exposure to a repeated claim.,3,It reflects the familiar observation that frequently repeated claims can feel more persuasive than uncomfortable corrections.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Institutions preserve habits, so yesterday's rules can become tomorrow's chains.",0,Somewhat opinion-like because interpreting a rule as a chain depends on perspective rather than a universally settled factual threshold.,3,0,Clearly social because institutions and rules are human-created arrangements rather than physical necessities.,4,0,"Clearly figurative: rules become chains by restricting options, not by turning into metal restraints.",4,1,"Likely descriptive because it proposes that persistent rules can become restrictive, rather than demanding their removal. Calling them chains adds an evaluative undertone.",3,0,Clearly inferential: institutional persistence explains how inherited rules can constrain later circumstances.,4,0,Likely abstract because it generalizes across institutional histories rather than describing an ordinary personal habit.,3,It captures the familiar idea that arrangements once considered useful can later restrict adaptation.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"International alliances rest on interests, so friendship bends when those interests shift.",0,Somewhat opinion-like because treating interests as alliances' foundation expresses an interpretive worldview rather than an exhaustive factual account.,3,0,"Clearly social because alliances depend on political commitments and perceived interests, not natural laws.",4,0,"Clearly figurative: diplomatic friendship bends metaphorically, rather than undergoing physical deformation.",4,1,Clearly descriptive rather than normative: it predicts alliance behavior without saying states should abandon friends.,4,0,Clearly inferential: dependence on shared interests explains why changing interests can alter diplomatic relationships.,4,0,"Clearly abstract because it interprets relations among states across changing interests, beyond ordinary individual experience.",4,It applies the familiar understanding that relationships based on mutual advantage change when that advantage changes.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Shared rituals connect generations, so tradition becomes a society's memory.",0,Somewhat opinion-like because calling tradition society's memory is an interpretive characterization rather than a uniquely verifiable identity.,3,0,Clearly social because rituals and traditions derive their meaning from shared human practices rather than physical laws.,4,0,"Clearly figurative: society is given a memory, although it has no single literal remembering mind.",4,1,Clearly descriptive because it proposes a function of tradition rather than requiring anyone to observe it.,4,0,Clearly inferential: rituals' connection across generations supports the conclusion that tradition preserves collective memory.,4,0,"Likely abstract because it characterizes cultural continuity across generations, not merely attendance at a particular ritual.",3,It reflects the familiar role of repeated ceremonies and customs in preserving a group's sense of continuity.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Economic insecurity breeds fear, so scapegoating finds fertile ground.",0,"Only weakly opinion-like because its broad causal framing is debatable, but the proposed relationship can be empirically investigated.",2,0,"Clearly social because economic insecurity and scapegoating involve human institutions, emotions, and group perceptions rather than physical rules.",4,0,"Clearly figurative: scapegoating finds fertile ground as an idea gaining support, not as a crop growing.",4,1,Clearly descriptive rather than normative: it explains susceptibility to scapegoating without approving it.,4,0,Clearly inferential: fear generated by insecurity is offered as a mechanism supporting scapegoating.,4,0,"Likely abstract because it connects broad economic conditions with collective blame, beyond any one person's experience.",3,It reflects the familiar idea that frightened people may become receptive to explanations blaming an identifiable group.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Technology changes possibilities faster than customs, so social rules play catch-up.",0,"Only weakly opinion-like because the sweeping comparison involves interpretation, but specific rates of adaptation are open to factual assessment.",2,0,Clearly social because the conclusion concerns customs and shared expectations rather than technology's physical operation.,4,0,"Clearly figurative: social rules play catch-up as lagging adaptations, not as literal game participants.",4,1,Clearly descriptive: it proposes a timing relationship without saying how quickly social rules ought to change.,4,0,Clearly inferential: differing rates of change explain why social rules lag behind technological possibilities.,4,0,Likely abstract because it generalizes about technological and cultural change across societies rather than one new device.,3,It reflects the familiar experience that communities need time to develop expectations around new inventions.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Bureaucracies reward predictability, so innovation often swims upstream.",0,"Only weakly opinion-like because the characterization is subjective in emphasis, but organizational resistance to innovation can be studied empirically.",2,0,Clearly social because bureaucratic incentives and organizational acceptance depend on human rules rather than natural laws.,4,0,"Clearly figurative: innovation swims upstream by encountering resistance, not by moving through water.",4,1,Clearly descriptive rather than prescriptive: it predicts resistance to innovation without saying bureaucracy should be abolished.,4,0,Clearly inferential: rewarding predictable conduct supplies a reason unfamiliar innovations face resistance.,4,0,Likely abstract because it characterizes organizational incentives broadly rather than describing one employee's routine experience.,3,It applies the familiar understanding that organizations valuing established procedures can resist unfamiliar approaches.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Public promises raise expectations, so broken promises spend a government's credibility.",0,"Only weakly opinion-like because the currency metaphor is interpretive, but changes in public confidence are empirically assessable.",2,0,"Clearly social because promises, expectations, and governmental legitimacy depend on human interpretations rather than physical laws.",4,0,Clearly figurative: credibility is treated as spendable currency rather than literal money.,4,1,Clearly descriptive because it proposes a consequence of broken promises rather than declaring a moral obligation to keep them.,4,0,Clearly inferential: raised expectations explain why subsequent nonperformance can diminish credibility.,4,0,Likely abstract because it concerns aggregate political credibility rather than merely one person's disappointed expectations.,3,It extends the familiar idea that failing to deliver what was promised makes future assurances less convincing.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Cultural exchange mixes perspectives, so creativity gains new soil.",0,"Somewhat opinion-like because identifying fertile conditions for creativity depends partly on interpretation, not one universally accepted factual measure.",3,0,Clearly social because cultural perspectives and creative meanings emerge through human communities rather than physical laws alone.,4,0,"Clearly figurative: creativity gains soil as conditions for development, not literal earth.",4,1,Clearly descriptive rather than normative: it proposes an effect of cultural exchange without requiring people to participate.,4,0,Clearly inferential: mixing perspectives supplies the reason cultural exchange can create new creative possibilities.,4,0,Likely abstract because it concerns cultural interaction and creativity at a broad level rather than one personal encounter.,3,It reflects the familiar understanding that exposure to unfamiliar ideas can inspire new combinations and approaches.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"National myths simplify history, so collective memory wears tinted glasses.",0,Somewhat opinion-like because characterizing collective memory as tinted requires interpretive judgments rather than only checking historical dates or events.,3,0,Clearly social because national identity and shared historical narratives are human constructions rather than natural rules.,4,0,"Clearly figurative: collective memory wears tinted glasses by adopting a selective perspective, not literal eyewear.",4,1,Likely descriptive because it proposes how national narratives shape remembrance rather than prescribing an approved history. The tinted-glasses image also suggests an evaluative stance.,3,0,Clearly inferential: simplifying national narratives explains the conclusion that shared remembrance becomes selectively framed.,4,0,Clearly abstract because it interprets nation-wide historical consciousness beyond any individual's direct experience.,4,It reflects the familiar idea that identity-supporting stories influence which parts of the past people emphasize.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Charitable giving follows attention, so unseen suffering waits at the back of the line.",0,"Only weakly opinion-like because the priority metaphor is interpretive, but attention's relationship to donations can be tested empirically.",2,0,Clearly social because charitable priorities depend on human attention and allocation decisions rather than physical laws.,4,0,"Clearly figurative: suffering waits in a line metaphorically, representing delayed priority rather than literal queuing.",4,1,Clearly descriptive rather than normative: it predicts which needs receive support without declaring how donations ought to be distributed.,4,0,Clearly inferential: attention-dependent giving implies that unnoticed needs receive lower priority.,4,0,Likely abstract because it generalizes about the distribution of charitable resources rather than one donation.,3,It reflects the familiar idea that people are less likely to help with problems they never notice.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
"Polarization rewards loyalty, so nuance becomes political baggage.",0,Somewhat opinion-like because what counts as nuance or political baggage depends on perspective rather than an uncontested factual definition.,3,0,Clearly social because political loyalty and the reception of nuanced views depend on human group expectations rather than physical laws.,4,0,"Clearly figurative: nuance becomes baggage by imposing a perceived burden, not by becoming luggage.",4,1,Likely descriptive because it proposes an incentive effect rather than telling people to reject nuance. Calling nuance baggage carries some evaluative ambiguity.,3,0,Clearly inferential: rewards for loyalty explain why qualifications that complicate allegiance may become liabilities.,4,0,"Likely abstract because it connects political-system incentives with public discourse, beyond an ordinary personal disagreement.",3,It reflects the familiar idea that strongly divided groups can treat qualified views as signs of disloyalty.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",openai/gpt-6-astra
